ID	adj.P.Val	P.Value	Gene.symbol	Gene.title
23009	1.45e-65	1.90e-68	COA4	cytochrome c oxidase assembly factor 4 homolog
21303	1.53e-65	2.06e-68	TARDBP	TAR DNA binding protein
10383	1.71e-65	2.36e-68		
27098	1.83e-65	2.60e-68	RPL21	ribosomal protein L21
16452	1.93e-65	2.81e-68	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
5118	1.95e-65	2.91e-68		
18716	1.96e-65	3.00e-68	SNORA7A///RPL32	small nucleolar RNA, H/ACA box 7A///ribosomal protein L32
21100	2.47e-65	3.86e-68	MRPL14	mitochondrial ribosomal protein L14
13934	2.49e-65	3.99e-68	RPL35	ribosomal protein L35
13360	2.50e-65	4.16e-68	MRPS24	mitochondrial ribosomal protein S24
6381	2.50e-65	4.19e-68	COA3	cytochrome c oxidase assembly factor 3
10840	3.24e-65	5.54e-68		
17668	3.30e-65	5.76e-68	RPL21	ribosomal protein L21
23636	3.34e-65	6.01e-68	SOD1	superoxide dismutase 1, soluble
6141	3.34e-65	6.32e-68	RPL21	ribosomal protein L21
703	3.34e-65	6.35e-68	OAZ1	ornithine decarboxylase antizyme 1
33436	3.34e-65	6.43e-68	RPL36A	ribosomal protein L36a
16117	3.34e-65	6.44e-68	RPS17	ribosomal protein S17
37500	3.49e-65	6.86e-68	UBC	ubiquitin C
25062	3.93e-65	7.87e-68	RPL7A	ribosomal protein L7a
27121	4.08e-65	8.32e-68	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
23743	5.25e-65	1.09e-67		
31952	5.63e-65	1.19e-67	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion
23079	5.66e-65	1.22e-67	RPL7A	ribosomal protein L7a
16252	5.77e-65	1.26e-67	EIF1	eukaryotic translation initiation factor 1
27036	5.77e-65	1.28e-67	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
37986	5.78e-65	1.31e-67		
13304	5.89e-65	1.35e-67	RPL35	ribosomal protein L35
6027	6.98e-65	1.63e-67	RPS15	ribosomal protein S15
38697	7.11e-65	1.68e-67	RPL6	ribosomal protein L6
25625	7.11e-65	1.71e-67		
11294	7.11e-65	1.73e-67	USMG5	up-regulated during skeletal muscle growth 5 homolog (mouse)
7045	7.78e-65	1.95e-67	RPS17	ribosomal protein S17
8487	7.78e-65	1.96e-67	RPLP0	ribosomal protein lateral stalk subunit P0
19332	9.30e-65	2.37e-67	DDX1	DEAD/H-box helicase 1
19086	1.06e-64	2.74e-67	RPL9	ribosomal protein L9
20339	1.07e-64	2.81e-67	UQCRC2	ubiquinol-cytochrome c reductase core protein II
11132	1.12e-64	2.97e-67	RPL14	ribosomal protein L14
43077	1.17e-64	3.20e-67	RPL13	ribosomal protein L13
1735	1.17e-64	3.21e-67	PURB	purine rich element binding protein B
39362	1.17e-64	3.23e-67		
17967	1.69e-64	4.74e-67	EIF3M	eukaryotic translation initiation factor 3 subunit M
7777	1.90e-64	5.39e-67	RPL37	ribosomal protein L37
21097	2.15e-64	6.19e-67	SOD1	superoxide dismutase 1, soluble
22599	2.48e-64	7.25e-67	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
25520	2.48e-64	7.42e-67		
7200	2.48e-64	7.43e-67	RPL24	ribosomal protein L24
31371	2.48e-64	7.56e-67		
18074	2.48e-64	7.63e-67	RPL21	ribosomal protein L21
32683	2.48e-64	7.68e-67	SOD1	superoxide dismutase 1, soluble
21400	3.01e-64	9.42e-67	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
36541	3.25e-64	1.03e-66	RPL34	ribosomal protein L34
25286	3.31e-64	1.06e-66	TPT1	tumor protein, translationally-controlled 1
20563	3.34e-64	1.08e-66	RPL21	ribosomal protein L21
37217	3.51e-64	1.15e-66		
28697	3.90e-64	1.29e-66	RPS24	ribosomal protein S24
40083	4.14e-64	1.39e-66	RPL27	ribosomal protein L27
30513	4.31e-64	1.46e-66		
10111	4.94e-64	1.69e-66		
17525	5.04e-64	1.74e-66	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII
19839	5.74e-64	2.01e-66		
28853	5.77e-64	2.04e-66		
13476	7.45e-64	2.66e-66	UBC	ubiquitin C
41317	8.88e-64	3.20e-66	SDC1	syndecan 1
4773	9.33e-64	3.40e-66	SUMO2	small ubiquitin-like modifier 2
1662	9.50e-64	3.49e-66	RPS25	ribosomal protein S25
36308	9.93e-64	3.70e-66	RPL19	ribosomal protein L19
43544	9.93e-64	3.72e-66		
25256	1.09e-63	4.13e-66	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
28915	1.33e-63	5.10e-66	PSMC1	proteasome 26S subunit, ATPase 1
39854	1.59e-63	6.13e-66		
30397	1.61e-63	6.27e-66	EIF3D	eukaryotic translation initiation factor 3 subunit D
29603	1.65e-63	6.49e-66		
28201	1.77e-63	7.01e-66	SLC25A3	solute carrier family 25 member 3
27436	2.16e-63	8.66e-66	COX7C	cytochrome c oxidase subunit 7C
45158	2.19e-63	8.86e-66	RPS6	ribosomal protein S6
565	2.23e-63	9.08e-66	C14orf166	chromosome 14 open reading frame 166
30550	2.42e-63	1.00e-65	UBC	ubiquitin C
11141	2.42e-63	1.00e-65		
19488	2.43e-63	1.02e-65	TPT1	tumor protein, translationally-controlled 1
25149	2.49e-63	1.05e-65	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B
13109	2.57e-63	1.10e-65	UBC	ubiquitin C
41427	2.94e-63	1.26e-65	PRR13	proline rich 13
13665	2.99e-63	1.29e-65	PGRMC2	progesterone receptor membrane component 2
37868	3.27e-63	1.43e-65		
33548	3.30e-63	1.45e-65	PSMD1	proteasome 26S subunit, non-ATPase 1
42191	3.39e-63	1.51e-65		
26871	4.19e-63	1.88e-65	SOD1	superoxide dismutase 1, soluble
34884	4.71e-63	2.12e-65	MYL12B	myosin light chain 12B
2791	5.16e-63	2.35e-65	RPL14	ribosomal protein L14
26573	5.16e-63	2.37e-65	UBC	ubiquitin C
41921	6.23e-63	2.88e-65		
29714	6.30e-63	2.94e-65		
38129	7.19e-63	3.38e-65	TOMM7	translocase of outer mitochondrial membrane 7
15848	7.80e-63	3.69e-65	RPS3A	ribosomal protein S3A
31501	7.94e-63	3.79e-65	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9
10541	8.32e-63	4.00e-65	ENY2	ENY2, transcription and export complex 2 subunit
33447	8.32e-63	4.03e-65		
15461	8.32e-63	4.06e-65	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
25123	8.80e-63	4.33e-65	RPS7	ribosomal protein S7
27305	8.87e-63	4.40e-65	UBC	ubiquitin C
26541	8.96e-63	4.47e-65		
16788	9.67e-63	4.86e-65	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1
1949	9.88e-63	5.00e-65	RPL23A	ribosomal protein L23a
8256	1.03e-62	5.28e-65	DAP3	death associated protein 3
24095	1.05e-62	5.41e-65	RPL34	ribosomal protein L34
14935	1.13e-62	5.84e-65	RPL27A	ribosomal protein L27a
12857	1.21e-62	6.28e-65	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
24310	1.25e-62	6.56e-65	UBC	ubiquitin C
5744	1.56e-62	8.23e-65	RPL3	ribosomal protein L3
26210	1.76e-62	9.36e-65	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8
18117	1.80e-62	9.64e-65		
41148	1.92e-62	1.03e-64	RPS25	ribosomal protein S25
14726	2.00e-62	1.09e-64	TXNL1	thioredoxin like 1
29185	2.17e-62	1.19e-64	PSMB7	proteasome subunit beta 7
1308	2.47e-62	1.36e-64	UBC	ubiquitin C
20801	2.49e-62	1.38e-64		
13249	2.64e-62	1.47e-64	PPIAL4A	peptidylprolyl isomerase A like 4A
19070	3.04e-62	1.70e-64	RPS21	ribosomal protein S21
18994	3.05e-62	1.74e-64	POLDIP2	DNA polymerase delta interacting protein 2
22752	3.05e-62	1.74e-64	SOD1	superoxide dismutase 1, soluble
18902	3.05e-62	1.74e-64		
45104	3.09e-62	1.78e-64	SERF2	small EDRK-rich factor 2
25539	3.09e-62	1.79e-64		
39474	3.69e-62	2.15e-64	RPSA	ribosomal protein SA
23831	4.01e-62	2.35e-64		
12520	4.01e-62	2.36e-64		
9073	4.01e-62	2.38e-64	ARPC2	actin related protein 2/3 complex subunit 2
17007	4.03e-62	2.41e-64	SUMO2	small ubiquitin-like modifier 2
8953	4.08e-62	2.45e-64	RPL3	ribosomal protein L3
31552	4.26e-62	2.58e-64	STRAP	serine/threonine kinase receptor associated protein
7018	4.30e-62	2.62e-64	MTIF3	mitochondrial translational initiation factor 3
12964	4.53e-62	2.77e-64		
20573	4.79e-62	2.95e-64		
3507	5.47e-62	3.39e-64	RPL36AL	ribosomal protein L36a like
19669	5.90e-62	3.67e-64	DARS	aspartyl-tRNA synthetase
39947	6.01e-62	3.77e-64	SOD1	superoxide dismutase 1, soluble
38309	6.27e-62	3.95e-64	RPL31	ribosomal protein L31
10515	6.55e-62	4.15e-64	USP39	ubiquitin specific peptidase 39
40146	6.60e-62	4.21e-64	BRI3	brain protein I3
9986	6.84e-62	4.38e-64	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion
28484	7.07e-62	4.55e-64	RPL37	ribosomal protein L37
13234	7.28e-62	4.72e-64	RPL37A	ribosomal protein L37a
4881	7.40e-62	4.83e-64	CYB5R3	cytochrome b5 reductase 3
34814	7.75e-62	5.08e-64		
34101	8.26e-62	5.44e-64	RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2
5578	8.69e-62	5.76e-64		
18924	8.87e-62	5.91e-64	CLINT1	clathrin interactor 1
12162	9.21e-62	6.17e-64	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
26733	9.54e-62	6.43e-64	SOD1	superoxide dismutase 1, soluble
17536	9.65e-62	6.56e-64		
35212	9.65e-62	6.59e-64	SERBP1	SERPINE1 mRNA binding protein 1
2351	9.65e-62	6.60e-64	RPL4	ribosomal protein L4
3599	1.03e-61	7.09e-64	RPS15	ribosomal protein S15
4020	1.05e-61	7.28e-64	OAZ1	ornithine decarboxylase antizyme 1
34470	1.05e-61	7.33e-64	RFWD2	ring finger and WD repeat domain 2
44945	1.09e-61	7.61e-64	SOD1	superoxide dismutase 1, soluble
36990	1.12e-61	7.86e-64		
26243	1.15e-61	8.11e-64	RPL12	ribosomal protein L12
38030	1.27e-61	9.02e-64	UQCRB	ubiquinol-cytochrome c reductase binding protein
21174	1.32e-61	9.43e-64	HSP90B1	heat shock protein 90 beta family member 1
5906	1.33e-61	9.53e-64	TMBIM6	transmembrane BAX inhibitor motif containing 6
24969	1.36e-61	9.80e-64	RPL17	ribosomal protein L17
10210	1.40e-61	1.01e-63	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
35862	1.42e-61	1.03e-63		
34210	1.46e-61	1.07e-63	HSPA4	heat shock protein family A (Hsp70) member 4
31784	1.46e-61	1.08e-63	DCTN3	dynactin subunit 3
26873	1.46e-61	1.08e-63	RPL22	ribosomal protein L22
15190	1.48e-61	1.10e-63	PPIA	peptidylprolyl isomerase A
5768	1.55e-61	1.16e-63	PMPCB	peptidase, mitochondrial processing beta subunit
35020	1.61e-61	1.21e-63	SCNM1	sodium channel modifier 1
27351	1.63e-61	1.23e-63		
28063	1.79e-61	1.35e-63	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
26389	1.82e-61	1.38e-63	DBI	diazepam binding inhibitor, acyl-CoA binding protein
40435	1.83e-61	1.41e-63	RPLP2	ribosomal protein lateral stalk subunit P2
711	1.83e-61	1.41e-63	EBNA1BP2	EBNA1 binding protein 2
15176	2.05e-61	1.59e-63		
5284	2.11e-61	1.64e-63		
12186	2.11e-61	1.65e-63	UBC	ubiquitin C
27842	2.11e-61	1.65e-63	FOCAD	focadhesin
36852	2.11e-61	1.66e-63	MBNL1	muscleblind like splicing regulator 1
18222	2.16e-61	1.70e-63		
18092	2.23e-61	1.77e-63	TMEM208	transmembrane protein 208
31155	2.54e-61	2.02e-63	HEBP1	heme binding protein 1
17600	2.69e-61	2.16e-63		
15865	2.77e-61	2.23e-63	EIF3M	eukaryotic translation initiation factor 3 subunit M
13768	2.79e-61	2.25e-63	CHMP2A	charged multivesicular body protein 2A
43224	2.81e-61	2.28e-63	POM121	POM121 transmembrane nucleoporin
13197	2.86e-61	2.34e-63	GTF2I	general transcription factor IIi
28760	3.11e-61	2.55e-63	RPL34	ribosomal protein L34
38601	3.22e-61	2.65e-63	PSMA6	proteasome subunit alpha 6
12669	3.57e-61	2.95e-63	MRPS9	mitochondrial ribosomal protein S9
6730	3.57e-61	2.96e-63	RPL37A	ribosomal protein L37a
21034	3.60e-61	3.00e-63	C11orf31	chromosome 11 open reading frame 31
12168	3.79e-61	3.17e-63	RPLP0	ribosomal protein lateral stalk subunit P0
10611	4.12e-61	3.46e-63		
37910	4.41e-61	3.72e-63	FABP5	fatty acid binding protein 5
37810	4.75e-61	4.03e-63	SOD1	superoxide dismutase 1, soluble
23417	5.32e-61	4.53e-63		
3548	5.49e-61	4.70e-63	RPL10A	ribosomal protein L10a
26442	5.60e-61	4.83e-63	MAL2	mal, T-cell differentiation protein 2 (gene/pseudogene)
5150	5.60e-61	4.84e-63	RPSA	ribosomal protein SA
31618	5.60e-61	4.85e-63	MKRN1	makorin ring finger protein 1
2816	5.77e-61	5.03e-63	MRPL45	mitochondrial ribosomal protein L45
20900	5.77e-61	5.04e-63	RARS	arginyl-tRNA synthetase
30181	5.79e-61	5.08e-63	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8
16205	5.94e-61	5.24e-63	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2
35578	6.06e-61	5.36e-63		
45179	6.32e-61	5.63e-63	ANXA2	annexin A2
8820	6.32e-61	5.64e-63		
39435	6.56e-61	5.88e-63	UBC	ubiquitin C
31466	6.97e-61	6.27e-63	CNPY2	canopy FGF signaling regulator 2
5385	7.00e-61	6.32e-63	DICER1	dicer 1, ribonuclease III
13237	7.24e-61	6.56e-63	FRG1	FSHD region gene 1
17338	7.41e-61	6.76e-63	RPS19	ribosomal protein S19
15947	7.41e-61	6.77e-63	EIF4E2	eukaryotic translation initiation factor 4E family member 2
8736	8.23e-61	7.55e-63	COX5B	cytochrome c oxidase subunit 5B
14952	8.27e-61	7.64e-63	ZNHIT1	zinc finger HIT-type containing 1
31555	8.27e-61	7.65e-63		
41291	8.49e-61	7.89e-63	UBC	ubiquitin C
15803	8.50e-61	7.95e-63		
6937	8.50e-61	7.95e-63	PSMC1	proteasome 26S subunit, ATPase 1
8625	9.11e-61	8.56e-63	BRIX1	BRX1, biogenesis of ribosomes
12041	9.23e-61	8.70e-63	PSMD7	proteasome 26S subunit, non-ATPase 7
7153	9.30e-61	8.81e-63	RPS25	ribosomal protein S25
19717	1.21e-60	1.15e-62	COPS3	COP9 signalosome subunit 3
21546	1.22e-60	1.16e-62	UBE2V1	ubiquitin conjugating enzyme E2 V1
41936	1.23e-60	1.17e-62		
4659	1.29e-60	1.24e-62	LINGO1	leucine rich repeat and Ig domain containing 1
24379	1.30e-60	1.25e-62	TMA7	translation machinery associated 7 homolog
24792	1.34e-60	1.30e-62	SRP14	signal recognition particle 14
40745	1.35e-60	1.31e-62	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
14383	1.45e-60	1.41e-62	RPL23A	ribosomal protein L23a
20024	1.55e-60	1.52e-62	PAK2	p21 (RAC1) activated kinase 2
24607	1.59e-60	1.57e-62	SEC61B	Sec61 translocon beta subunit
11511	1.71e-60	1.69e-62		
40328	1.71e-60	1.69e-62		
34297	1.75e-60	1.74e-62		
8163	1.82e-60	1.82e-62	RPL12	ribosomal protein L12
34981	1.83e-60	1.84e-62	FAM162A	family with sequence similarity 162 member A
10143	1.87e-60	1.88e-62		
25272	1.95e-60	1.97e-62	YME1L1	YME1 like 1 ATPase
5843	2.09e-60	2.11e-62		
14027	2.11e-60	2.15e-62		
32012	2.11e-60	2.15e-62	RPL26	ribosomal protein L26
6338	2.14e-60	2.19e-62	RPL32	ribosomal protein L32
25758	2.17e-60	2.23e-62	TPM3	tropomyosin 3
26912	2.27e-60	2.34e-62	SDF2	stromal cell derived factor 2
27088	2.27e-60	2.35e-62	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
26684	2.39e-60	2.48e-62	EIF3H	eukaryotic translation initiation factor 3 subunit H
30402	2.48e-60	2.59e-62	ELAC2	elaC ribonuclease Z 2
10049	2.73e-60	2.86e-62	TMED4	transmembrane p24 trafficking protein 4
18496	2.73e-60	2.86e-62	ATG12	autophagy related 12
110	2.79e-60	2.93e-62		
11689	2.90e-60	3.06e-62	GIGYF2	GRB10 interacting GYF protein 2
39879	2.97e-60	3.15e-62	SAT2	spermidine/spermine N1-acetyltransferase family member 2
6378	3.05e-60	3.25e-62	CSNK1A1	casein kinase 1 alpha 1
12370	3.36e-60	3.59e-62	RPL34	ribosomal protein L34
20250	3.56e-60	3.81e-62		
13127	3.60e-60	3.87e-62	LEPROT	leptin receptor overlapping transcript
17927	3.64e-60	3.92e-62	ATAD1	ATPase family, AAA domain containing 1
364	3.77e-60	4.08e-62	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9
22486	3.85e-60	4.17e-62	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3
23200	3.92e-60	4.27e-62	S100A9	S100 calcium binding protein A9
27787	4.18e-60	4.58e-62		
18025	4.18e-60	4.59e-62	SUMO2	small ubiquitin-like modifier 2
42464	4.25e-60	4.68e-62	NME1	NME/NM23 nucleoside diphosphate kinase 1
22316	4.50e-60	4.96e-62	RALBP1	ralA binding protein 1
18570	4.81e-60	5.33e-62	HARS	histidyl-tRNA synthetase
39900	5.11e-60	5.67e-62	RPL21	ribosomal protein L21
8966	5.22e-60	5.81e-62	RPS3A	ribosomal protein S3A
25300	5.22e-60	5.84e-62	MRPL46	mitochondrial ribosomal protein L46
31454	5.30e-60	5.95e-62	MYL12B	myosin light chain 12B
9790	5.32e-60	5.98e-62	KRR1	KRR1, small subunit processome component homolog
14607	5.95e-60	6.71e-62		
29141	5.99e-60	6.79e-62	SF3A1	splicing factor 3a subunit 1
9735	6.08e-60	6.90e-62	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X
18006	6.29e-60	7.19e-62	FBXO25	F-box protein 25
18436	6.29e-60	7.19e-62	COX14	COX14, cytochrome c oxidase assembly factor
8359	6.42e-60	7.36e-62	RPS8	ribosomal protein S8
41503	7.22e-60	8.31e-62		
23945	7.45e-60	8.63e-62	CBL	Cbl proto-oncogene
2017	7.45e-60	8.65e-62	RPS29	ribosomal protein S29
11684	7.45e-60	8.66e-62	NEDD8	neural precursor cell expressed, developmentally down-regulated 8
29981	7.48e-60	8.72e-62		
26387	9.68e-60	1.13e-61		
5467	9.92e-60	1.16e-61	THEM5	thioesterase superfamily member 5
37416	1.06e-59	1.25e-61		
13786	1.08e-59	1.27e-61		
25898	1.10e-59	1.30e-61		
34085	1.10e-59	1.31e-61	PHKB	phosphorylase kinase regulatory subunit beta
10483	1.10e-59	1.31e-61	CCT4	chaperonin containing TCP1 subunit 4
20016	1.15e-59	1.37e-61	CRELD2	cysteine rich with EGF like domains 2
3315	1.15e-59	1.38e-61	RPL38	ribosomal protein L38
25071	1.21e-59	1.45e-61	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2
21917	1.25e-59	1.51e-61		
38669	1.26e-59	1.53e-61		
38963	1.29e-59	1.56e-61	PRPF40A	pre-mRNA processing factor 40 homolog A
17220	1.30e-59	1.58e-61	COX16	COX16, cytochrome c oxidase assembly homolog
43204	1.30e-59	1.59e-61	RPS10	ribosomal protein S10
33079	1.32e-59	1.62e-61	HSPA8	heat shock protein family A (Hsp70) member 8
10874	1.51e-59	1.85e-61	OVCA2	ovarian tumor suppressor candidate 2
37164	1.58e-59	1.94e-61	UBC	ubiquitin C
7380	1.61e-59	1.99e-61	RPL21	ribosomal protein L21
7385	1.62e-59	2.01e-61	SRPRA	SRP receptor alpha subunit
23088	1.62e-59	2.01e-61	ANAPC11	anaphase promoting complex subunit 11
8753	1.62e-59	2.02e-61	ZNF24	zinc finger protein 24
32771	1.62e-59	2.02e-61		
44556	1.68e-59	2.11e-61	RPL13AP3	ribosomal protein L13a pseudogene 3
25703	1.84e-59	2.31e-61	PANK2	pantothenate kinase 2
31372	1.92e-59	2.42e-61	KDF1	keratinocyte differentiation factor 1
31058	1.95e-59	2.46e-61	HN1	hematological and neurological expressed 1
37327	2.04e-59	2.59e-61	POLR3GL	RNA polymerase III subunit G like
10390	2.07e-59	2.63e-61	SKP1	S-phase kinase-associated protein 1
29006	2.21e-59	2.82e-61	COPS9	COP9 signalosome subunit 9
30904	2.29e-59	2.93e-61	RPS3A	ribosomal protein S3A
19649	2.33e-59	3.00e-61	DYNLL1	dynein light chain LC8-type 1
27643	2.33e-59	3.01e-61	MRPS31	mitochondrial ribosomal protein S31
11639	2.33e-59	3.01e-61	RPL8	ribosomal protein L8
44385	2.33e-59	3.01e-61		
42494	2.33e-59	3.02e-61	GSTP1	glutathione S-transferase pi 1
6591	2.41e-59	3.13e-61		
2411	2.41e-59	3.15e-61		
19905	2.41e-59	3.15e-61	MRPL20	mitochondrial ribosomal protein L20
20964	2.49e-59	3.26e-61	MYL6	myosin light chain 6
1313	2.63e-59	3.46e-61	TALDO1	transaldolase 1
16801	2.64e-59	3.49e-61	TNFAIP1	TNF alpha induced protein 1
21544	2.81e-59	3.72e-61	RPL28	ribosomal protein L28
39093	2.84e-59	3.78e-61	BECN1	beclin 1
30951	2.84e-59	3.78e-61	SERBP1	SERPINE1 mRNA binding protein 1
22611	2.94e-59	3.91e-61	RPL7	ribosomal protein L7
2102	3.05e-59	4.08e-61	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
29717	3.06e-59	4.10e-61	NF2	neurofibromin 2
24510	3.09e-59	4.16e-61	SLC9A3R1	SLC9A3 regulator 1
27256	3.13e-59	4.22e-61	UBQLN1	ubiquilin 1
36176	3.47e-59	4.69e-61		
32398	3.52e-59	4.77e-61		
28394	3.67e-59	4.98e-61	RPL35	ribosomal protein L35
35525	3.68e-59	5.01e-61	TM9SF4	transmembrane 9 superfamily member 4
42469	3.71e-59	5.06e-61	EID1	EP300 interacting inhibitor of differentiation 1
25130	3.80e-59	5.20e-61		
27977	3.92e-59	5.38e-61		
43535	3.92e-59	5.39e-61	C1QBP	complement C1q binding protein
2827	3.98e-59	5.50e-61	DDR1	discoidin domain receptor tyrosine kinase 1
35589	4.04e-59	5.58e-61	PPCS	phosphopantothenoylcysteine synthetase
44239	4.06e-59	5.63e-61		
31548	4.10e-59	5.70e-61	PTPRA	protein tyrosine phosphatase, receptor type A
7321	4.29e-59	5.99e-61	RPL26	ribosomal protein L26
8458	4.29e-59	6.00e-61		
14442	4.57e-59	6.40e-61	TUBA1C	tubulin alpha 1c
13518	4.65e-59	6.54e-61	MINOS1	mitochondrial inner membrane organizing system 1
39678	4.78e-59	6.75e-61	GSTP1	glutathione S-transferase pi 1
4034	4.78e-59	6.75e-61	RPS3	ribosomal protein S3
41787	4.83e-59	6.84e-61	HSBP1	heat shock factor binding protein 1
2007	4.83e-59	6.86e-61	RPL39	ribosomal protein L39
8544	4.85e-59	6.91e-61	RPS7	ribosomal protein S7
20602	5.10e-59	7.29e-61	MPV17L2	MPV17 mitochondrial inner membrane protein like 2
12142	5.10e-59	7.29e-61	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit
22878	5.29e-59	7.60e-61	RPL10A	ribosomal protein L10a
21787	5.29e-59	7.61e-61	UBB	ubiquitin B
23338	5.44e-59	7.84e-61	CAPN2	calpain 2
34024	6.22e-59	8.99e-61	POMP	proteasome maturation protein
18378	6.35e-59	9.20e-61	ATXN2	ataxin 2
23979	6.47e-59	9.40e-61	POP7	POP7 homolog, ribonuclease P/MRP subunit
34753	6.53e-59	9.52e-61		
37138	6.74e-59	9.84e-61	ARPC3	actin related protein 2/3 complex subunit 3
29616	6.90e-59	1.01e-60	BRK1	BRICK1, SCAR/WAVE actin nucleating complex subunit
31688	6.92e-59	1.02e-60	ESRRA	estrogen related receptor alpha
27187	7.12e-59	1.05e-60	DCAF13	DDB1 and CUL4 associated factor 13
37346	7.15e-59	1.05e-60	DCP1A	decapping mRNA 1A
44482	7.42e-59	1.10e-60	SNAP47	synaptosome associated protein 47
39716	7.84e-59	1.16e-60	COX7A2	cytochrome c oxidase subunit 7A2
42956	7.96e-59	1.18e-60		
24227	8.30e-59	1.24e-60	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
43480	8.64e-59	1.29e-60		
18114	8.74e-59	1.31e-60	MRPS18B	mitochondrial ribosomal protein S18B
18520	8.82e-59	1.32e-60		
21408	9.25e-59	1.39e-60		
30251	9.31e-59	1.40e-60	CHMP4A	charged multivesicular body protein 4A
34309	9.44e-59	1.43e-60	FOXN2	forkhead box N2
2655	9.78e-59	1.48e-60	RPL36	ribosomal protein L36
12970	9.91e-59	1.50e-60	ATP6V0C	ATPase H+ transporting V0 subunit c
19793	1.04e-58	1.58e-60	BLVRA	biliverdin reductase A
42890	1.11e-58	1.69e-60	VDAC2	voltage dependent anion channel 2
24119	1.13e-58	1.72e-60		
15885	1.14e-58	1.74e-60		
28021	1.17e-58	1.80e-60		
