ID	adj.P.Val	P.Value	Gene.symbol	Gene.title
23743	5.54e-65	1.15e-67		
23079	5.57e-65	1.19e-67	RPL7A	ribosomal protein L7a
16252	5.57e-65	1.20e-67	EIF1	eukaryotic translation initiation factor 1
31952	5.58e-65	1.22e-67	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion
27036	5.70e-65	1.27e-67	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
13304	6.02e-65	1.37e-67	RPL35	ribosomal protein L35
37986	6.02e-65	1.38e-67		
25625	6.60e-65	1.54e-67		
6027	6.60e-65	1.56e-67	RPS15	ribosomal protein S15
38697	6.82e-65	1.64e-67	RPL6	ribosomal protein L6
11294	7.47e-65	1.83e-67	USMG5	up-regulated during skeletal muscle growth 5 homolog (mouse)
7045	7.47e-65	1.85e-67	RPS17	ribosomal protein S17
8487	7.59e-65	1.91e-67	RPLP0	ribosomal protein lateral stalk subunit P0
19332	9.17e-65	2.34e-67	DDX1	DEAD/H-box helicase 1
1735	9.24e-65	2.39e-67	PURB	purine rich element binding protein B
19086	1.02e-64	2.68e-67	RPL9	ribosomal protein L9
11132	1.03e-64	2.73e-67	RPL14	ribosomal protein L14
20339	1.08e-64	2.91e-67	UQCRC2	ubiquinol-cytochrome c reductase core protein II
43077	1.13e-64	3.09e-67	RPL13	ribosomal protein L13
39362	1.22e-64	3.39e-67		
17967	2.02e-64	5.65e-67	EIF3M	eukaryotic translation initiation factor 3 subunit M
7777	2.02e-64	5.74e-67	RPL37	ribosomal protein L37
21097	2.10e-64	6.04e-67	SOD1	superoxide dismutase 1, soluble
25520	2.26e-64	6.57e-67		
18074	2.37e-64	6.98e-67	RPL21	ribosomal protein L21
32683	2.52e-64	7.53e-67	SOD1	superoxide dismutase 1, soluble
31371	2.62e-64	7.93e-67		
21400	2.67e-64	8.20e-67	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
7200	2.67e-64	8.26e-67	RPL24	ribosomal protein L24
22599	2.87e-64	8.97e-67	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
20563	2.96e-64	9.39e-67	RPL21	ribosomal protein L21
25286	2.97e-64	9.61e-67	TPT1	tumor protein, translationally-controlled 1
36541	2.97e-64	9.62e-67	RPL34	ribosomal protein L34
37217	3.43e-64	1.12e-66		
28697	3.69e-64	1.22e-66	RPS24	ribosomal protein S24
30513	4.17e-64	1.40e-66		
40083	4.21e-64	1.43e-66	RPL27	ribosomal protein L27
10111	4.96e-64	1.70e-66		
17525	5.25e-64	1.81e-66	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII
28853	5.67e-64	1.98e-66		
19839	5.94e-64	2.10e-66		
13476	6.97e-64	2.49e-66	UBC	ubiquitin C
41317	9.09e-64	3.28e-66	SDC1	syndecan 1
4773	9.27e-64	3.38e-66	SUMO2	small ubiquitin-like modifier 2
1662	1.02e-63	3.74e-66	RPS25	ribosomal protein S25
36308	1.02e-63	3.79e-66	RPL19	ribosomal protein L19
43544	1.07e-63	4.02e-66		
25256	1.13e-63	4.26e-66	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
29603	1.49e-63	5.72e-66		
39854	1.52e-63	5.86e-66		
30397	1.54e-63	5.99e-66	EIF3D	eukaryotic translation initiation factor 3 subunit D
28915	1.57e-63	6.18e-66	PSMC1	proteasome 26S subunit, ATPase 1
28201	1.80e-63	7.14e-66	SLC25A3	solute carrier family 25 member 3
45158	2.20e-63	8.80e-66	RPS6	ribosomal protein S6
27436	2.29e-63	9.28e-66	COX7C	cytochrome c oxidase subunit 7C
30550	2.29e-63	9.34e-66	UBC	ubiquitin C
19488	2.33e-63	9.59e-66	TPT1	tumor protein, translationally-controlled 1
11141	2.49e-63	1.03e-65		
13109	2.51e-63	1.06e-65	UBC	ubiquitin C
13665	2.51e-63	1.06e-65	PGRMC2	progesterone receptor membrane component 2
25149	2.68e-63	1.14e-65	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B
565	2.68e-63	1.15e-65	C14orf166	chromosome 14 open reading frame 166
41427	3.12e-63	1.36e-65	PRR13	proline rich 13
42191	3.12e-63	1.36e-65		
37868	3.41e-63	1.50e-65		
33548	3.67e-63	1.63e-65	PSMD1	proteasome 26S subunit, non-ATPase 1
26871	4.08e-63	1.83e-65	SOD1	superoxide dismutase 1, soluble
2791	4.48e-63	2.03e-65	RPL14	ribosomal protein L14
26573	4.84e-63	2.20e-65	UBC	ubiquitin C
34884	5.05e-63	2.32e-65	MYL12B	myosin light chain 12B
41921	5.83e-63	2.70e-65		
29714	6.11e-63	2.85e-65		
15848	7.46e-63	3.50e-65	RPS3A	ribosomal protein S3A
38129	7.56e-63	3.58e-65	TOMM7	translocase of outer mitochondrial membrane 7
33447	8.21e-63	3.92e-65		
27305	8.50e-63	4.10e-65	UBC	ubiquitin C
25123	8.50e-63	4.12e-65	RPS7	ribosomal protein S7
15461	8.63e-63	4.21e-65	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
26541	8.68e-63	4.27e-65		
10541	8.68e-63	4.30e-65	ENY2	ENY2, transcription and export complex 2 subunit
31501	8.84e-63	4.41e-65	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9
1949	1.01e-62	5.08e-65	RPL23A	ribosomal protein L23a
24095	1.01e-62	5.09e-65	RPL34	ribosomal protein L34
14935	1.12e-62	5.70e-65	RPL27A	ribosomal protein L27a
8256	1.15e-62	5.90e-65	DAP3	death associated protein 3
24310	1.18e-62	6.12e-65	UBC	ubiquitin C
16788	1.18e-62	6.14e-65	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1
12857	1.33e-62	6.97e-65	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
5744	1.54e-62	8.12e-65	RPL3	ribosomal protein L3
18117	1.69e-62	8.99e-65		
26210	1.78e-62	9.51e-65	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8
41148	1.96e-62	1.06e-64	RPS25	ribosomal protein S25
1308	2.35e-62	1.28e-64	UBC	ubiquitin C
29185	2.35e-62	1.28e-64	PSMB7	proteasome subunit beta 7
20801	2.55e-62	1.40e-64		
14726	2.69e-62	1.49e-64	TXNL1	thioredoxin like 1
13249	2.86e-62	1.59e-64	PPIAL4A	peptidylprolyl isomerase A like 4A
25539	2.89e-62	1.62e-64		
18902	2.96e-62	1.67e-64		
22752	2.96e-62	1.68e-64	SOD1	superoxide dismutase 1, soluble
7018	3.07e-62	1.76e-64	MTIF3	mitochondrial translational initiation factor 3
45104	3.09e-62	1.78e-64	SERF2	small EDRK-rich factor 2
39474	3.09e-62	1.79e-64	RPSA	ribosomal protein SA
18994	3.14e-62	1.83e-64	POLDIP2	DNA polymerase delta interacting protein 2
19070	3.14e-62	1.84e-64	RPS21	ribosomal protein S21
23831	3.88e-62	2.29e-64		
9073	3.92e-62	2.33e-64	ARPC2	actin related protein 2/3 complex subunit 2
8953	3.98e-62	2.38e-64	RPL3	ribosomal protein L3
12520	3.98e-62	2.39e-64		
17007	4.15e-62	2.51e-64	SUMO2	small ubiquitin-like modifier 2
20573	4.32e-62	2.62e-64		
31552	4.56e-62	2.79e-64	STRAP	serine/threonine kinase receptor associated protein
12964	4.63e-62	2.85e-64		
3507	5.67e-62	3.51e-64	RPL36AL	ribosomal protein L36a like
39947	5.93e-62	3.69e-64	SOD1	superoxide dismutase 1, soluble
40146	6.22e-62	3.89e-64	BRI3	brain protein I3
19669	6.36e-62	4.01e-64	DARS	aspartyl-tRNA synthetase
38309	6.62e-62	4.19e-64	RPL31	ribosomal protein L31
10515	6.65e-62	4.24e-64	USP39	ubiquitin specific peptidase 39
9986	7.16e-62	4.59e-64	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion
34470	7.16e-62	4.61e-64	RFWD2	ring finger and WD repeat domain 2
4881	7.18e-62	4.66e-64	CYB5R3	cytochrome b5 reductase 3
28484	7.34e-62	4.79e-64	RPL37	ribosomal protein L37
34814	7.42e-62	4.87e-64		
13234	7.45e-62	4.91e-64	RPL37A	ribosomal protein L37a
18924	7.66e-62	5.08e-64	CLINT1	clathrin interactor 1
34101	7.82e-62	5.21e-64	RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2
12162	8.23e-62	5.51e-64	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
17536	8.45e-62	5.69e-64		
5578	9.16e-62	6.21e-64		
26733	9.19e-62	6.27e-64	SOD1	superoxide dismutase 1, soluble
35212	9.19e-62	6.29e-64	SERBP1	SERPINE1 mRNA binding protein 1
2351	9.72e-62	6.69e-64	RPL4	ribosomal protein L4
4020	9.75e-62	6.75e-64	OAZ1	ornithine decarboxylase antizyme 1
3599	9.95e-62	6.92e-64	RPS15	ribosomal protein S15
36990	1.06e-61	7.41e-64		
44945	1.06e-61	7.46e-64	SOD1	superoxide dismutase 1, soluble
26243	1.17e-61	8.29e-64	RPL12	ribosomal protein L12
5906	1.27e-61	9.04e-64	TMBIM6	transmembrane BAX inhibitor motif containing 6
24969	1.29e-61	9.20e-64	RPL17	ribosomal protein L17
26873	1.31e-61	9.37e-64	RPL22	ribosomal protein L22
38030	1.31e-61	9.43e-64	UQCRB	ubiquinol-cytochrome c reductase binding protein
10210	1.33e-61	9.64e-64	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
27351	1.35e-61	9.85e-64		
35020	1.35e-61	9.91e-64	SCNM1	sodium channel modifier 1
31784	1.40e-61	1.03e-63	DCTN3	dynactin subunit 3
35862	1.47e-61	1.08e-63		
15190	1.62e-61	1.20e-63	PPIA	peptidylprolyl isomerase A
34210	1.66e-61	1.24e-63	HSPA4	heat shock protein family A (Hsp70) member 4
711	1.67e-61	1.25e-63	EBNA1BP2	EBNA1 binding protein 2
28063	1.68e-61	1.26e-63	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
21174	1.68e-61	1.27e-63	HSP90B1	heat shock protein 90 beta family member 1
40435	1.68e-61	1.28e-63	RPLP2	ribosomal protein lateral stalk subunit P2
27842	1.73e-61	1.32e-63	FOCAD	focadhesin
26389	1.85e-61	1.42e-63	DBI	diazepam binding inhibitor, acyl-CoA binding protein
18092	1.97e-61	1.52e-63	TMEM208	transmembrane protein 208
5284	2.00e-61	1.55e-63		
12186	2.00e-61	1.56e-63	UBC	ubiquitin C
15176	2.00e-61	1.56e-63		
5768	2.05e-61	1.61e-63	PMPCB	peptidase, mitochondrial processing beta subunit
18222	2.07e-61	1.63e-63		
36852	2.12e-61	1.68e-63	MBNL1	muscleblind like splicing regulator 1
31155	2.44e-61	1.94e-63	HEBP1	heme binding protein 1
43224	2.80e-61	2.24e-63	POM121	POM121 transmembrane nucleoporin
17600	2.80e-61	2.26e-63		
28760	2.92e-61	2.36e-63	RPL34	ribosomal protein L34
13768	3.10e-61	2.52e-63	CHMP2A	charged multivesicular body protein 2A
15865	3.28e-61	2.67e-63	EIF3M	eukaryotic translation initiation factor 3 subunit M
13197	3.32e-61	2.72e-63	GTF2I	general transcription factor IIi
21034	3.49e-61	2.87e-63	C11orf31	chromosome 11 open reading frame 31
12168	3.73e-61	3.08e-63	RPLP0	ribosomal protein lateral stalk subunit P0
6730	3.74e-61	3.11e-63	RPL37A	ribosomal protein L37a
10611	3.76e-61	3.14e-63		
38601	3.94e-61	3.30e-63	PSMA6	proteasome subunit alpha 6
23417	4.23e-61	3.56e-63		
37910	4.63e-61	3.91e-63	FABP5	fatty acid binding protein 5
37810	4.67e-61	3.96e-63	SOD1	superoxide dismutase 1, soluble
12669	4.68e-61	3.99e-63	MRPS9	mitochondrial ribosomal protein S9
5150	4.85e-61	4.15e-63	RPSA	ribosomal protein SA
3548	5.35e-61	4.60e-63	RPL10A	ribosomal protein L10a
31618	5.69e-61	4.91e-63	MKRN1	makorin ring finger protein 1
13237	5.88e-61	5.10e-63	FRG1	FSHD region gene 1
2816	5.95e-61	5.18e-63	MRPL45	mitochondrial ribosomal protein L45
26442	6.10e-61	5.33e-63	MAL2	mal, T-cell differentiation protein 2 (gene/pseudogene)
39435	6.17e-61	5.42e-63	UBC	ubiquitin C
20900	6.22e-61	5.48e-63	RARS	arginyl-tRNA synthetase
30181	6.37e-61	5.64e-63	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8
45179	6.37e-61	5.66e-63	ANXA2	annexin A2
8820	6.69e-61	5.97e-63		
31466	6.93e-61	6.23e-63	CNPY2	canopy FGF signaling regulator 2
35578	6.93e-61	6.23e-63		
16205	6.96e-61	6.29e-63	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2
17338	7.55e-61	6.85e-63	RPS19	ribosomal protein S19
31555	7.68e-61	6.99e-63		
15947	7.83e-61	7.16e-63	EIF4E2	eukaryotic translation initiation factor 4E family member 2
41291	7.85e-61	7.20e-63	UBC	ubiquitin C
14952	8.54e-61	7.87e-63	ZNHIT1	zinc finger HIT-type containing 1
12041	8.71e-61	8.06e-63	PSMD7	proteasome 26S subunit, non-ATPase 7
8736	8.82e-61	8.19e-63	COX5B	cytochrome c oxidase subunit 5B
8625	9.12e-61	8.50e-63	BRIX1	BRX1, biogenesis of ribosomes
15803	9.48e-61	8.88e-63		
7153	1.02e-60	9.56e-63	RPS25	ribosomal protein S25
6937	1.03e-60	9.71e-63	PSMC1	proteasome 26S subunit, ATPase 1
19717	1.03e-60	9.79e-63	COPS3	COP9 signalosome subunit 3
5385	1.04e-60	9.93e-63	DICER1	dicer 1, ribonuclease III
24379	1.05e-60	1.00e-62	TMA7	translation machinery associated 7 homolog
21546	1.10e-60	1.05e-62	UBE2V1	ubiquitin conjugating enzyme E2 V1
4659	1.25e-60	1.21e-62	LINGO1	leucine rich repeat and Ig domain containing 1
40745	1.25e-60	1.21e-62	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
41936	1.29e-60	1.25e-62		
14383	1.48e-60	1.43e-62	RPL23A	ribosomal protein L23a
24792	1.49e-60	1.46e-62	SRP14	signal recognition particle 14
24607	1.50e-60	1.47e-62	SEC61B	Sec61 translocon beta subunit
40328	1.52e-60	1.50e-62		
11511	1.53e-60	1.51e-62		
20024	1.58e-60	1.57e-62	PAK2	p21 (RAC1) activated kinase 2
34297	1.63e-60	1.62e-62		
25272	1.69e-60	1.69e-62	YME1L1	YME1 like 1 ATPase
10143	1.73e-60	1.73e-62		
8163	1.79e-60	1.80e-62	RPL12	ribosomal protein L12
6338	2.02e-60	2.04e-62	RPL32	ribosomal protein L32
27088	2.10e-60	2.12e-62	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
14027	2.16e-60	2.19e-62		
25758	2.16e-60	2.20e-62	TPM3	tropomyosin 3
32012	2.17e-60	2.22e-62	RPL26	ribosomal protein L26
5843	2.29e-60	2.35e-62		
34981	2.31e-60	2.38e-62	FAM162A	family with sequence similarity 162 member A
10049	2.37e-60	2.45e-62	TMED4	transmembrane p24 trafficking protein 4
26684	2.56e-60	2.66e-62	EIF3H	eukaryotic translation initiation factor 3 subunit H
39879	2.61e-60	2.72e-62	SAT2	spermidine/spermine N1-acetyltransferase family member 2
110	2.66e-60	2.79e-62		
26912	2.66e-60	2.79e-62	SDF2	stromal cell derived factor 2
30402	2.81e-60	2.96e-62	ELAC2	elaC ribonuclease Z 2
6378	2.84e-60	3.00e-62	CSNK1A1	casein kinase 1 alpha 1
11689	2.99e-60	3.16e-62	GIGYF2	GRB10 interacting GYF protein 2
23200	3.04e-60	3.23e-62	S100A9	S100 calcium binding protein A9
12370	3.10e-60	3.31e-62	RPL34	ribosomal protein L34
18496	3.21e-60	3.44e-62	ATG12	autophagy related 12
17927	3.42e-60	3.67e-62	ATAD1	ATPase family, AAA domain containing 1
20250	3.45e-60	3.72e-62		
13127	3.67e-60	3.97e-62	LEPROT	leptin receptor overlapping transcript
18025	4.02e-60	4.36e-62	SUMO2	small ubiquitin-like modifier 2
27787	4.08e-60	4.45e-62		
18006	4.18e-60	4.56e-62	FBXO25	F-box protein 25
29141	4.31e-60	4.73e-62	SF3A1	splicing factor 3a subunit 1
39900	4.34e-60	4.77e-62	RPL21	ribosomal protein L21
18570	4.36e-60	4.81e-62	HARS	histidyl-tRNA synthetase
364	4.44e-60	4.92e-62	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9
25300	4.45e-60	4.94e-62	MRPL46	mitochondrial ribosomal protein L46
9790	4.49e-60	5.01e-62	KRR1	KRR1, small subunit processome component homolog
22486	4.79e-60	5.35e-62	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3
8966	4.96e-60	5.56e-62	RPS3A	ribosomal protein S3A
42464	4.97e-60	5.60e-62	NME1	NME/NM23 nucleoside diphosphate kinase 1
22316	5.35e-60	6.04e-62	RALBP1	ralA binding protein 1
9735	5.38e-60	6.09e-62	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X
31454	5.83e-60	6.62e-62	MYL12B	myosin light chain 12B
18436	6.32e-60	7.20e-62	COX14	COX14, cytochrome c oxidase assembly factor
8359	6.35e-60	7.26e-62	RPS8	ribosomal protein S8
14607	6.56e-60	7.53e-62		
41503	6.74e-60	7.76e-62		
29981	7.36e-60	8.49e-62		
2017	8.18e-60	9.47e-62	RPS29	ribosomal protein S29
11684	8.24e-60	9.57e-62	NEDD8	neural precursor cell expressed, developmentally down-regulated 8
23945	8.68e-60	1.01e-61	CBL	Cbl proto-oncogene
5467	8.93e-60	1.04e-61	THEM5	thioesterase superfamily member 5
26387	9.59e-60	1.12e-61		
34085	9.60e-60	1.13e-61	PHKB	phosphorylase kinase regulatory subunit beta
25898	1.01e-59	1.19e-61		
13786	1.07e-59	1.27e-61		
21917	1.12e-59	1.33e-61		
10483	1.17e-59	1.39e-61	CCT4	chaperonin containing TCP1 subunit 4
3315	1.20e-59	1.43e-61	RPL38	ribosomal protein L38
37416	1.34e-59	1.60e-61		
33079	1.34e-59	1.61e-61	HSPA8	heat shock protein family A (Hsp70) member 8
25071	1.34e-59	1.61e-61	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2
43204	1.38e-59	1.67e-61	RPS10	ribosomal protein S10
38963	1.38e-59	1.67e-61	PRPF40A	pre-mRNA processing factor 40 homolog A
38669	1.43e-59	1.74e-61		
8753	1.45e-59	1.77e-61	ZNF24	zinc finger protein 24
37164	1.48e-59	1.81e-61	UBC	ubiquitin C
17220	1.48e-59	1.81e-61	COX16	COX16, cytochrome c oxidase assembly homolog
7380	1.48e-59	1.82e-61	RPL21	ribosomal protein L21
23088	1.56e-59	1.93e-61	ANAPC11	anaphase promoting complex subunit 11
10874	1.57e-59	1.95e-61	OVCA2	ovarian tumor suppressor candidate 2
7385	1.59e-59	1.98e-61	SRPRA	SRP receptor alpha subunit
29717	1.62e-59	2.01e-61	NF2	neurofibromin 2
20016	1.63e-59	2.04e-61	CRELD2	cysteine rich with EGF like domains 2
32771	1.64e-59	2.06e-61		
25703	1.67e-59	2.10e-61	PANK2	pantothenate kinase 2
31372	1.70e-59	2.15e-61	KDF1	keratinocyte differentiation factor 1
44556	1.89e-59	2.38e-61	RPL13AP3	ribosomal protein L13a pseudogene 3
1313	2.08e-59	2.63e-61	TALDO1	transaldolase 1
16801	2.10e-59	2.67e-61	TNFAIP1	TNF alpha induced protein 1
31058	2.10e-59	2.68e-61	HN1	hematological and neurological expressed 1
30904	2.10e-59	2.68e-61	RPS3A	ribosomal protein S3A
27643	2.10e-59	2.70e-61	MRPS31	mitochondrial ribosomal protein S31
44385	2.10e-59	2.70e-61		
10390	2.14e-59	2.76e-61	SKP1	S-phase kinase-associated protein 1
11639	2.23e-59	2.88e-61	RPL8	ribosomal protein L8
2411	2.27e-59	2.95e-61		
29006	2.33e-59	3.03e-61	COPS9	COP9 signalosome subunit 9
19649	2.33e-59	3.04e-61	DYNLL1	dynein light chain LC8-type 1
39093	2.33e-59	3.05e-61	BECN1	beclin 1
42494	2.34e-59	3.07e-61	GSTP1	glutathione S-transferase pi 1
20964	2.35e-59	3.09e-61	MYL6	myosin light chain 6
19905	2.44e-59	3.22e-61	MRPL20	mitochondrial ribosomal protein L20
6591	2.44e-59	3.22e-61		
27256	2.65e-59	3.51e-61	UBQLN1	ubiquilin 1
24510	2.70e-59	3.59e-61	SLC9A3R1	SLC9A3 regulator 1
30951	2.83e-59	3.78e-61	SERBP1	SERPINE1 mRNA binding protein 1
21544	2.84e-59	3.80e-61	RPL28	ribosomal protein L28
25130	2.84e-59	3.81e-61		
42469	2.88e-59	3.87e-61	EID1	EP300 interacting inhibitor of differentiation 1
37327	2.89e-59	3.89e-61	POLR3GL	RNA polymerase III subunit G like
22611	2.89e-59	3.91e-61	RPL7	ribosomal protein L7
2102	2.89e-59	3.92e-61	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
36176	3.23e-59	4.39e-61		
32398	3.33e-59	4.54e-61		
35525	3.37e-59	4.61e-61	TM9SF4	transmembrane 9 superfamily member 4
35589	3.45e-59	4.72e-61	PPCS	phosphopantothenoylcysteine synthetase
28394	3.80e-59	5.22e-61	RPL35	ribosomal protein L35
27977	3.94e-59	5.42e-61		
31548	4.32e-59	5.96e-61	PTPRA	protein tyrosine phosphatase, receptor type A
7321	4.48e-59	6.21e-61	RPL26	ribosomal protein L26
44239	4.48e-59	6.22e-61		
2007	4.49e-59	6.25e-61	RPL39	ribosomal protein L39
2827	4.49e-59	6.26e-61	DDR1	discoidin domain receptor tyrosine kinase 1
43535	4.50e-59	6.29e-61	C1QBP	complement C1q binding protein
14442	4.60e-59	6.45e-61	TUBA1C	tubulin alpha 1c
8544	4.69e-59	6.59e-61	RPS7	ribosomal protein S7
8458	4.79e-59	6.75e-61		
39678	4.85e-59	6.86e-61	GSTP1	glutathione S-transferase pi 1
12142	4.86e-59	6.88e-61	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit
13518	4.87e-59	6.91e-61	MINOS1	mitochondrial inner membrane organizing system 1
41787	4.93e-59	7.02e-61	HSBP1	heat shock factor binding protein 1
22878	5.13e-59	7.33e-61	RPL10A	ribosomal protein L10a
23338	5.18e-59	7.41e-61	CAPN2	calpain 2
37346	5.24e-59	7.52e-61	DCP1A	decapping mRNA 1A
21787	5.24e-59	7.54e-61	UBB	ubiquitin B
20602	5.39e-59	7.78e-61	MPV17L2	MPV17 mitochondrial inner membrane protein like 2
34024	5.57e-59	8.05e-61	POMP	proteasome maturation protein
4034	5.64e-59	8.18e-61	RPS3	ribosomal protein S3
31688	6.07e-59	8.82e-61	ESRRA	estrogen related receptor alpha
29616	6.47e-59	9.43e-61	BRK1	BRICK1, SCAR/WAVE actin nucleating complex subunit
23979	6.83e-59	9.98e-61	POP7	POP7 homolog, ribonuclease P/MRP subunit
34753	6.87e-59	1.01e-60		
18378	6.97e-59	1.02e-60	ATXN2	ataxin 2
37138	7.37e-59	1.08e-60	ARPC3	actin related protein 2/3 complex subunit 3
39716	7.67e-59	1.13e-60	COX7A2	cytochrome c oxidase subunit 7A2
18520	7.96e-59	1.18e-60		
42956	8.01e-59	1.19e-60		
24227	8.01e-59	1.19e-60	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
44482	8.01e-59	1.19e-60	SNAP47	synaptosome associated protein 47
34309	8.01e-59	1.20e-60	FOXN2	forkhead box N2
21418	8.16e-59	1.22e-60	MAEA	macrophage erythroblast attacher
12970	8.27e-59	1.24e-60	ATP6V0C	ATPase H+ transporting V0 subunit c
19793	8.46e-59	1.27e-60	BLVRA	biliverdin reductase A
9539	8.57e-59	1.29e-60	LIMK2	LIM domain kinase 2
21408	8.70e-59	1.31e-60		
18311	8.76e-59	1.33e-60	TDG	thymine DNA glycosylase
27187	8.98e-59	1.36e-60	DCAF13	DDB1 and CUL4 associated factor 13
43480	8.99e-59	1.37e-60		
2655	9.40e-59	1.43e-60	RPL36	ribosomal protein L36
30251	9.58e-59	1.47e-60	CHMP4A	charged multivesicular body protein 4A
24119	1.00e-58	1.54e-60		
15885	1.01e-58	1.56e-60		
