GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
11076	4.86e-03	1.35e-05	0.561	-4.351967	-2.4410101	588.55	TPPP	tubulin polymerization promoting protein
29993	4.86e-03	1.36e-05	0.863	4.350997	3.7552805	263.32	PACSIN1	protein kinase C and casein kinase substrate in neurons 1
112268016	4.94e-03	1.40e-05	0.548	-4.343604	-2.3799675	27.62	LOC112268016	collagen alpha-1(I) chain-like
7342	4.97e-03	1.44e-05	0.194	4.337998	0.8434526	1170.85	UBP1	upstream binding protein 1
140612	5.05e-03	1.49e-05	0.455	4.330872	1.9692111	75.43	ZFP28	ZFP28 zinc finger protein
9498	5.58e-03	1.67e-05	0.529	4.304711	2.2780132	117.51	SLC4A8	solute carrier family 4 member 8
3006	5.74e-03	1.75e-05	0.591	-4.294631	-2.5400222	716.02	H1-2	H1.2 linker histone, cluster member
92291	6.33e-03	1.98e-05	1.089	4.26746	4.6482293	466.98	CAPN13	calpain 13
83723	6.33e-03	1.99e-05	0.446	-4.265726	-1.9038572	20.1	TLCD3B	TLC domain containing 3B
7324	6.45e-03	2.07e-05	0.258	4.257172	1.1002583	796.73	UBE2E1	ubiquitin conjugating enzyme E2 E1
55313	6.45e-03	2.11e-05	0.27	4.252617	1.1487898	407.51	CPPED1	calcineurin like phosphoesterase domain containing 1
63934	6.45e-03	2.13e-05	0.752	4.250626	3.1953983	88.04	ZNF667	zinc finger protein 667
28512	6.58e-03	2.21e-05	0.227	4.242715	0.9610763	394.13	NKIRAS1	NFKB inhibitor interacting Ras like 1
100129060	6.66e-03	2.27e-05	0.187	4.23665	0.7943512	212.26	SEMA3F-AS1	SEMA3F antisense RNA 1
105377137	7.44e-03	2.57e-05	0.806	-4.208197	-3.3918926	43.53	LNCSIK1	uncharacterized LOC105377137
54742	7.91e-03	2.78e-05	0.614	-4.190947	-2.5714592	474.91	LY6K	lymphocyte antigen 6 family member K
56477	8.24e-03	2.94e-05	0.501	-4.178449	-2.0925493	197.21	CCL28	C-C motif chemokine ligand 28
5570	8.63e-03	3.17e-05	0.596	-4.161084	-2.4783672	103.4	PKIB	cAMP-dependent protein kinase inhibitor beta
136227	8.63e-03	3.21e-05	0.952	4.158066	3.9588819	156.43	COL26A1	collagen type XXVI alpha 1 chain
57082	8.63e-03	3.16e-05	0.375	-4.161913	-1.5599245	394.52	KNL1	kinetochore scaffold 1
170689	8.86e-03	3.39e-05	0.634	4.145816	2.6279355	265.51	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15
90625	8.86e-03	3.36e-05	0.717	-4.147628	-2.9747159	92.91	ERVH48-1	endogenous retrovirus group 48 member 1, envelope
221416	1.01e-02	3.91e-05	0.685	-4.112572	-2.8179966	343.68	LINC03040	long intergenic non-protein coding RNA 3040
3913	1.04e-02	4.09e-05	0.382	4.102474	1.5662131	3611.96	LAMB2	laminin subunit beta 2
10051	1.05e-02	4.19e-05	0.219	-4.096909	-0.8967367	1756.82	SMC4	structural maintenance of chromosomes 4
286826	1.08e-02	4.33e-05	0.251	-4.089133	-1.0271196	127.08	LIN9	lin-9 DREAM MuvB core complex component
151507	1.11e-02	4.59e-05	0.385	-4.075592	-1.5692775	130.16	MSL3P1	MSL complex subunit 3 pseudogene 1
101927931	1.11e-02	4.55e-05	0.875	4.077378	3.5677322	68.7	LINC01480	long intergenic non-protein coding RNA 1480
28231	1.29e-02	5.38e-05	0.539	-4.038327	-2.1767194	760.5	SLCO4A1	solute carrier organic anion transporter family member 4A1
645121	1.30e-02	5.54e-05	0.636	-4.031585	-2.5647249	80.5	CCNI2	cyclin I family member 2
3881	1.30e-02	5.62e-05	1.067	-4.028215	-4.2963322	151.31	KRT31	keratin 31
29802	1.30e-02	5.65e-05	0.647	4.027068	2.6056412	42.86	VPREB3	V-set pre-B cell surrogate light chain 3
112267876	1.32e-02	5.78e-05	1.136	-4.021536	-4.5678461	12393.94	LOC112267876	
107987228	1.33e-02	5.92e-05	0.619	-4.015832	-2.487738	32.49	LOC107987228	uncharacterized LOC107987228
23743	1.34e-02	6.10e-05	0.801	4.008964	3.2126977	50.66	BHMT2	betaine--homocysteine S-methyltransferase 2
4693	1.34e-02	6.06e-05	0.926	4.010506	3.7143874	29.01	NDP	norrin cystine knot growth factor NDP
2861	1.38e-02	6.45e-05	0.508	-3.995729	-2.0286574	78.26	GPR37	G protein-coupled receptor 37
105372424	1.38e-02	6.49e-05	1.04	-3.994378	-4.1545217	50.34	LOC105372424	uncharacterized LOC105372424
125965	1.38e-02	6.44e-05	0.765	-3.995973	-3.056373	180.2	COX6B2	cytochrome c oxidase subunit 6B2
107986780	1.40e-02	6.64e-05	0.967	3.988791	3.8577931	131.55	LOC107986780	
25913	1.40e-02	6.70e-05	0.236	-3.986648	-0.9407146	250.89	POT1	protection of telomeres 1
103344718	1.41e-02	6.89e-05	1.134	-3.979895	-4.5146621	17079.61	HOTS	
85416	1.41e-02	6.86e-05	0.968	-3.981198	-3.8554232	102.9	ZIC5	Zic family member 5
2297	1.42e-02	7.08e-05	0.76	-3.973428	-3.0205499	135.68	FOXD1	forkhead box D1
117	1.42e-02	7.09e-05	0.952	3.973298	3.7817848	388.06	ADCYAP1R1	ADCYAP receptor type I
133022	1.57e-02	7.96e-05	0.664	3.945663	2.6210862	19.2	TRAM1L1	translocation associated membrane protein 1 like 1
105374382	1.59e-02	8.14e-05	0.661	-3.940386	-2.6038179	21.41	LOC105374382	uncharacterized LOC105374382
283120	1.61e-02	8.45e-05	1.1	-3.931219	-4.3256546	59716.54	H19	H19 imprinted maternally expressed transcript
102724852	1.61e-02	8.49e-05	1.102	-3.930144	-4.3296394	66203.1	LOC102724852	replaced by ID 100033819
109864281	1.61e-02	8.38e-05	0.458	3.933391	1.8019809	159.97	RNA5-8SN2	RNA, 5.8S ribosomal N2
1604	1.62e-02	8.60e-05	0.498	-3.926935	-1.9555546	1277.8	CD55	CD55 molecule (Cromer blood group)
106632260	1.63e-02	8.73e-05	0.457	3.923427	1.7938141	159.44	RNA5-8SN1	RNA, 5.8S ribosomal N1
477	1.65e-02	9.13e-05	0.812	3.912703	3.1774281	25.83	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
11188	1.65e-02	8.96e-05	0.272	3.917233	1.0666307	3312.43	NISCH	nischarin
100033819	1.65e-02	9.10e-05	1.089	-3.91349	-4.2626689	2074.05	MIR675	microRNA 675
4922	1.67e-02	9.30e-05	0.66	-3.908287	-2.580511	20.6	NTS	neurotensin
5145	1.67e-02	9.40e-05	0.834	3.905659	3.2567276	35.48	PDE6A	phosphodiesterase 6A
728763	1.68e-02	9.63e-05	1.063	3.899694	4.1469945	83.48	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2
109864274	1.68e-02	9.64e-05	0.459	3.899449	1.7896624	159.5	RNA5-8SN4	RNA, 5.8S ribosomal N4
144193	1.69e-02	9.78e-05	0.681	-3.896088	-2.6545816	23.9	AMDHD1	amidohydrolase domain containing 1
25924	1.81e-02	1.06e-04	0.569	3.875707	2.2037717	61.19	MYRIP	myosin VIIA and Rab interacting protein
100128252	1.81e-02	1.07e-04	0.605	3.875154	2.3431157	125.43	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)
109910381	1.81e-02	1.08e-04	0.457	3.872486	1.7684258	160.42	RNA5-8SN3	RNA, 5.8S ribosomal N3
55815	1.89e-02	1.13e-04	0.523	3.8603	2.0190517	53.64	TSNAXIP1	translin associated factor X interacting protein 1
22906	1.93e-02	1.18e-04	0.236	3.850965	0.9070473	1819.89	TRAK1	trafficking kinesin protein 1
5810	1.93e-02	1.17e-04	0.263	-3.852371	-1.0146878	485.29	RAD1	RAD1 checkpoint DNA exonuclease
375323	1.94e-02	1.19e-04	1.007	3.847373	3.8744583	90.13	LHFPL4	LHFPL tetraspan subfamily member 4
26232	1.94e-02	1.22e-04	0.632	-3.843054	-2.4271698	569.24	FBXO2	F-box protein 2
50944	1.94e-02	1.21e-04	0.831	3.8449	3.193508	199.22	SHANK1	SH3 and multiple ankyrin repeat domains 1
554225	1.95e-02	1.26e-04	0.43	-3.834266	-1.6502282	40.84	STRCP1	stereocilin pseudogene 1
79006	1.95e-02	1.24e-04	0.648	-3.838487	-2.4868872	975.5	METRN	meteorin, glial cell differentiation regulator
105372709	1.95e-02	1.24e-04	0.318	-3.837913	-1.2185674	69	LOC105372709	uncharacterized LOC105372709
164656	1.95e-02	1.25e-04	0.787	-3.83609	-3.0174484	67.14	TMPRSS6	transmembrane serine protease 6
8710	1.97e-02	1.29e-04	0.864	-3.828875	-3.3089482	242.89	SERPINB7	serpin family B member 7
100008587	1.97e-02	1.29e-04	0.465	3.82827	1.7800981	159.2	RNA5-8SN5	RNA, 5.8S ribosomal N5
3306	1.97e-02	1.30e-04	0.609	-3.825983	-2.331164	1308.06	HSPA2	heat shock protein family A (Hsp70) member 2
128239	1.99e-02	1.36e-04	0.377	-3.81595	-1.4367939	1764.2	IQGAP3	IQ motif containing GTPase activating protein 3
84929	1.99e-02	1.34e-04	0.646	-3.818166	-2.4674543	56.15	FIBCD1	fibrinogen C domain containing 1
374407	1.99e-02	1.35e-04	0.892	3.816516	3.4058376	136.32	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13
57611	1.99e-02	1.37e-04	0.668	3.814359	2.5469198	76.49	ISLR2	immunoglobulin superfamily containing leucine rich repeat 2
1556	1.99e-02	1.37e-04	0.827	3.813899	3.1546695	40.11	CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene
57507	2.01e-02	1.40e-04	0.656	3.807846	2.4984493	371.25	ZNF608	zinc finger protein 608
1840	2.01e-02	1.40e-04	0.411	3.808517	1.5637445	109.59	DTX1	deltex E3 ubiquitin ligase 1
574029	2.03e-02	1.43e-04	0.486	-3.803419	-1.850026	18.94	DUSP5P1	dual specificity phosphatase 5 pseudogene 1
5933	2.03e-02	1.44e-04	0.324	-3.801673	-1.2308486	286.35	RBL1	RB transcriptional corepressor like 1
11044	2.08e-02	1.48e-04	0.231	-3.794606	-0.8759875	1182.42	TENT4A	terminal nucleotidyltransferase 4A
440278	2.15e-02	1.54e-04	0.319	-3.784013	-1.2065866	52.32	CATSPER2P1	cation channel sperm associated 2 pseudogene 1
440712	2.17e-02	1.57e-04	0.846	3.779221	3.198029	355.35	RHEX	regulator of hemoglobinization and erythroid cell expansion
9837	2.17e-02	1.58e-04	0.356	-3.778188	-1.3463809	497.91	GINS1	GINS complex subunit 1
339541	2.18e-02	1.60e-04	0.424	3.774549	1.5989292	51.08	ARMH1	armadillo like helical domain containing 1
378825	2.18e-02	1.61e-04	0.983	-3.773922	-3.7105928	22.26	PICSAR	P38 inhibited cutaneous squamous cell carcinoma associated lincRNA
4588	2.28e-02	1.70e-04	0.824	-3.760355	-3.0987578	980.31	MUC6	mucin 6, oligomeric mucus/gel-forming
491	2.29e-02	1.71e-04	1.188	3.758082	4.466356	208.77	ATP2B2	ATPase plasma membrane Ca2+ transporting 2
11339	2.30e-02	1.73e-04	0.353	-3.755114	-1.3269935	108.64	OIP5	Opa interacting protein 5
54443	2.38e-02	1.81e-04	0.383	-3.74416	-1.433231	907.65	ANLN	anillin, actin binding protein
7690	2.39e-02	1.82e-04	0.289	-3.742304	-1.080124	601.28	ZNF131	zinc finger protein 131
100191040	2.40e-02	1.84e-04	0.492	-3.739484	-1.8394298	110.41	C2CD4D	C2 calcium dependent domain containing 4D
10544	2.43e-02	1.88e-04	0.485	-3.733964	-1.8120092	530.13	PROCR	protein C receptor
2176	2.52e-02	1.96e-04	0.242	-3.723609	-0.8992533	478.15	FANCC	FA complementation group C
2912	2.54e-02	2.00e-04	0.728	3.718593	2.7054126	79.35	GRM2	glutamate metabotropic receptor 2
643719	2.54e-02	2.00e-04	0.36	-3.719446	-1.3393691	45.3	SCGB1B2P	secretoglobin family 1B member 2, pseudogene
80760	2.56e-02	2.04e-04	0.513	3.714455	1.9051212	418.22	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5
84276	2.62e-02	2.11e-04	0.253	3.705875	0.9363645	337.97	NICN1	nicolin 1, tubulin polyglutamylase complex subunit
105372310	2.62e-02	2.10e-04	0.727	3.706765	2.6935828	35.52	LOC105372310	uncharacterized LOC105372310
102724398	2.63e-02	2.13e-04	0.678	-3.702657	-2.5085872	156.52	CH507-42P11.6	uncharacterized CH507-42P11.6
3978	2.63e-02	2.15e-04	0.308	-3.700965	-1.1399838	1558.87	LIG1	DNA ligase 1
284391	2.69e-02	2.21e-04	0.403	3.693815	1.4877316	186.74	ZNF844	zinc finger protein 844
9080	2.70e-02	2.23e-04	0.87	-3.690952	-3.2108832	51.38	CLDN9	claudin 9
8520	2.74e-02	2.28e-04	0.212	-3.685698	-0.782656	513.03	HAT1	histone acetyltransferase 1
100505666	2.88e-02	2.44e-04	0.337	-3.668465	-1.2372776	134.18	DCST1-AS1	DCST1 antisense RNA 1
2066	2.88e-02	2.45e-04	1.032	3.667684	3.7857556	140.3	ERBB4	erb-b2 receptor tyrosine kinase 4
25894	2.88e-02	2.45e-04	0.533	-3.667387	-1.9548759	896.23	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4
51087	2.88e-02	2.45e-04	0.795	-3.667793	-2.9166332	122.9	YBX2	Y-box binding protein 2
8370	2.88e-02	2.47e-04	0.491	-3.665541	-1.7996049	124.2	H4C14	H4 clustered histone 14
55055	3.02e-02	2.60e-04	0.319	-3.651983	-1.1651379	288.97	ZWILCH	zwilch kinetochore protein
554313	3.09e-02	2.68e-04	0.492	-3.644238	-1.7931839	126.9	H4C15	H4 clustered histone 15
79443	3.10e-02	2.72e-04	0.296	3.640903	1.0762126	1255.71	FYCO1	FYVE and coiled-coil domain autophagy adaptor 1
78990	3.10e-02	2.72e-04	0.472	3.640842	1.7195508	148.67	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2
161497	3.21e-02	2.83e-04	0.456	-3.629984	-1.655419	42.43	STRC	stereocilin
79574	3.27e-02	2.90e-04	1.029	3.623768	3.729313	49.82	EPS8L3	EPS8 like 3
100132111	3.37e-02	3.01e-04	0.579	-3.61419	-2.0932433	374.6	C2CD4D-AS1	C2CD4D and THEM5 antisense RNA 1
22943	3.41e-02	3.07e-04	0.79	-3.609583	-2.8517612	245.34	DKK1	dickkopf WNT signaling pathway inhibitor 1
4246	3.44e-02	3.11e-04	1.462	3.605957	5.2734703	357.07	SCGB2A1	secretoglobin family 2A member 1
100131825	3.54e-02	3.23e-04	0.846	3.595936	3.0410756	77.05	CADM3-AS1	CADM3 antisense RNA 1
55830	3.54e-02	3.24e-04	0.208	3.595433	0.7476977	576.24	GLT8D1	glycosyltransferase 8 domain containing 1
1113	3.57e-02	3.30e-04	0.948	3.590357	3.4046656	317.69	CHGA	chromogranin A
89777	3.57e-02	3.30e-04	0.966	-3.590851	-3.4680998	93.94	SERPINB12	serpin family B member 12
9496	3.61e-02	3.36e-04	0.811	-3.585996	-2.9093923	23.61	TBX4	T-box transcription factor 4
26220	3.64e-02	3.40e-04	0.538	-3.582548	-1.9263508	26.37	DGCR5	DiGeorge syndrome critical region gene 5
157574	3.65e-02	3.43e-04	0.683	3.580647	2.4461869	50.64	FBXO16	F-box protein 16
138715	3.67e-02	3.47e-04	0.382	-3.577695	-1.3654259	16.95	ARID3C	AT-rich interaction domain 3C
112268238	3.68e-02	3.50e-04	0.473	-3.575113	-1.6909981	379.82	LOC112268238	replaced by ID 554313
28232	3.72e-02	3.57e-04	0.378	-3.570339	-1.3482306	1017.11	SLCO3A1	solute carrier organic anion transporter family member 3A1
284836	3.72e-02	3.57e-04	0.67	-3.56979	-2.3915437	57.21	LINC00319	long intergenic non-protein coding RNA 319
105373424	3.77e-02	3.64e-04	0.464	-3.565104	-1.6532273	42.04	LOC105373424	uncharacterized LOC105373424
2735	3.89e-02	3.79e-04	0.444	3.554102	1.5775323	102.45	GLI1	GLI family zinc finger 1
122416	3.89e-02	3.79e-04	0.384	-3.554526	-1.363558	1158.88	ANKRD9	ankyrin repeat domain 9
4998	3.89e-02	3.84e-04	0.394	-3.551017	-1.3986968	269.68	ORC1	origin recognition complex subunit 1
7913	3.89e-02	3.83e-04	0.273	-3.551816	-0.9688299	1443.29	DEK	DEK proto-oncogene
11169	3.91e-02	3.90e-04	0.376	-3.546536	-1.3344212	349.15	WDHD1	WD repeat and HMG-box DNA binding protein 1
27439	3.91e-02	3.91e-04	0.681	3.545919	2.4165018	51.44	TMEM121B	transmembrane protein 121B
100008589	3.91e-02	3.90e-04	0.459	3.546792	1.6275876	199651.41	RNA28SN5	RNA, 28S ribosomal N5
109864272	3.92e-02	3.95e-04	0.455	3.543388	1.6135482	202670.37	RNA28SN4	RNA, 28S ribosomal N4
105371592	3.93e-02	3.97e-04	0.486	-3.541831	-1.7195914	19.32	LOC105371592	uncharacterized LOC105371592
10272	4.02e-02	4.13e-04	0.576	-3.531496	-2.0332849	1311.66	FSTL3	follistatin like 3
109910382	4.02e-02	4.10e-04	0.466	3.533686	1.6459702	185362.57	RNA28SN3	RNA, 28S ribosomal N3
112268284	4.02e-02	4.13e-04	0.464	3.531415	1.6378849	29579.34	LOC112268284	
102724943	4.03e-02	4.19e-04	0.753	-3.527525	-2.6548659	39.19	LOC102724943	splicing factor 3A subunit 2
80129	4.03e-02	4.21e-04	0.651	3.526663	2.2953818	77.19	CCDC170	coiled-coil domain containing 170
4857	4.03e-02	4.18e-04	0.88	3.528477	3.1035708	93.9	NOVA1	NOVA alternative splicing regulator 1
284408	4.04e-02	4.24e-04	0.511	3.524794	1.8006237	20.6	ZNF790-AS1	ZNF790 antisense RNA 1
3231	4.04e-02	4.29e-04	0.835	-3.521829	-2.9409879	37.78	HOXD1	homeobox D1
442319	4.04e-02	4.30e-04	0.84	3.520796	2.9572893	53.55	ZNF727	zinc finger protein 727
106632264	4.04e-02	4.29e-04	0.462	3.521659	1.6281922	202606.55	RNA28SN1	RNA, 28S ribosomal N1
109864282	4.06e-02	4.34e-04	0.457	3.518573	1.6090358	195555.09	RNA28SN2	RNA, 28S ribosomal N2
100271835	4.08e-02	4.40e-04	0.717	3.515124	2.5192284	165.16	LIMS3-LOC440895	LIMS3-LOC440895 readthrough
107985976	4.08e-02	4.41e-04	0.502	3.514334	1.7655946	2702.67	LOC107985976	
6299	4.08e-02	4.42e-04	0.81	3.513394	2.8465195	258.27	SALL1	spalt like transcription factor 1
5265	4.09e-02	4.45e-04	0.832	3.511804	2.9213948	4780.85	SERPINA1	serpin family A member 1
1768	4.12e-02	4.51e-04	0.962	3.508118	3.3746421	27.81	DNAH6	dynein axonemal heavy chain 6
23495	4.22e-02	4.64e-04	0.93	3.500523	3.2554114	55.65	TNFRSF13B	TNF receptor superfamily member 13B
287	4.24e-02	4.68e-04	0.673	3.498224	2.3531531	270.59	ANK2	ankyrin 2
55299	4.29e-02	4.77e-04	0.321	-3.493561	-1.1202186	418.71	BRIX1	biogenesis of ribosomes BRX1
83850	4.30e-02	4.80e-04	0.579	-3.491873	-2.0224872	162.94	ESYT3	extended synaptotagmin 3
96597	4.31e-02	4.83e-04	0.792	3.490173	2.7633375	41.03	TBC1D27P	TBC1 domain family member 27, pseudogene
4093	4.34e-02	4.88e-04	0.711	3.487032	2.4780927	256.13	SMAD9	SMAD family member 9
9687	4.35e-02	4.94e-04	0.792	3.48393	2.7588599	489.89	GREB1	growth regulating estrogen receptor binding 1
7102	4.35e-02	4.93e-04	0.66	3.484557	2.3012837	376.62	TSPAN7	tetraspanin 7
4578	4.35e-02	4.97e-04	0.527	3.482581	1.8355312	142.82	TRNW	tRNA-Trp
1041	4.35e-02	4.99e-04	0.517	-3.481192	-1.7997588	156.78	CDSN	corneodesmosin
79025	4.36e-02	5.02e-04	0.609	-3.479562	-2.1191896	35.15	FNDC11	fibronectin type III domain containing 11
5979	4.38e-02	5.06e-04	0.712	-3.47747	-2.4758127	143.88	RET	ret proto-oncogene
10609	4.40e-02	5.11e-04	0.714	-3.474864	-2.4814041	1406.96	P3H4	prolyl 3-hydroxylase family member 4 (inactive)
26354	4.47e-02	5.22e-04	0.232	3.469417	0.8064192	932.4	GNL3	G protein nucleolar 3
3680	4.48e-02	5.27e-04	0.501	3.466647	1.7376447	317.39	ITGA9	integrin subunit alpha 9
389813	4.48e-02	5.27e-04	0.345	-3.466395	-1.1944236	149.3	AJM1	apical junction component 1 homolog
133957	4.57e-02	5.42e-04	0.295	-3.458874	-1.0205005	482.72	CCDC127	coiled-coil domain containing 127
212	4.57e-02	5.42e-04	0.858	-3.459326	-2.9691854	66.38	ALAS2	5'-aminolevulinate synthase 2
55228	4.68e-02	5.58e-04	0.909	3.451272	3.1355939	224.95	PNMA8A	PNMA family member 8A
57650	4.70e-02	5.63e-04	0.353	-3.448706	-1.2183315	239.84	CIP2A	cellular inhibitor of PP2A
158046	4.75e-02	5.78e-04	0.819	3.441543	2.8173062	56.6	NXNL2	nucleoredoxin like 2
80071	4.75e-02	5.74e-04	0.352	-3.443693	-1.2116649	61.41	CCDC15	coiled-coil domain containing 15
8744	4.75e-02	5.74e-04	0.731	-3.443429	-2.5165407	180.21	TNFSF9	TNF superfamily member 9
11122	4.75e-02	5.77e-04	1.107	3.442266	3.8100748	70.32	PTPRT	protein tyrosine phosphatase receptor type T
51244	4.84e-02	5.92e-04	0.193	3.435132	0.6626152	269.1	CCDC174	coiled-coil domain containing 174
168544	4.89e-02	6.01e-04	0.447	3.431278	1.5325391	327.96	ZNF467	zinc finger protein 467
23609	4.93e-02	6.09e-04	0.175	3.427569	0.6009526	424.92	MKRN2	makorin ring finger protein 2
27239	4.93e-02	6.11e-04	0.603	3.426633	2.0673387	116.1	GPR162	G protein-coupled receptor 162
