GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
105377675	1.83e-08	2.90e-11	0.3947	-6.6513739	-2.6256171	72.62	LOC105377675	uncharacterized LOC105377675
130733	2.08e-08	3.40e-11	0.4675	6.628119	3.0988251	56.56	TMEM178A	transmembrane protein 178A
100129543	3.11e-08	5.22e-11	0.4876	6.5644684	3.2005723	23.55	ZNF730	zinc finger protein 730
6261	3.31e-08	5.71e-11	0.3705	-6.5512117	-2.427294	978.74	RYR1	ryanodine receptor 1
8501	3.50e-08	6.19e-11	0.4058	6.5390888	2.6536134	193.46	SLC43A1	solute carrier family 43 member 1
6469	4.37e-08	7.94e-11	0.8173	6.5017321	5.3136199	69.35	SHH	sonic hedgehog signaling molecule
1029	5.25e-08	1.00e-10	0.4497	-6.4667393	-2.9079641	4502.22	CDKN2A	cyclin dependent kinase inhibitor 2A
56241	5.25e-08	9.98e-11	0.5054	6.4671895	3.2683834	468.41	SUSD2	sushi domain containing 2
27022	8.66e-08	1.69e-10	0.5889	-6.387175	-3.7612459	54.77	FOXD3	forkhead box D3
339983	1.59e-07	3.18e-10	0.5973	6.2899394	3.7571461	79.56	NAT8L	N-acetyltransferase 8 like
83592	1.90e-07	3.97e-10	0.3254	-6.2551165	-2.0356641	154.98	AKR1E2	aldo-keto reductase family 1 member E2
107984777	1.90e-07	3.89e-10	0.499	-6.2584352	-3.1226857	20.96	LOC107984777	uncharacterized LOC107984777
107985769	2.15e-07	4.58e-10	0.4091	-6.2329972	-2.5499312	21.43	LOC107985769	uncharacterized LOC107985769
7802	2.46e-07	5.37e-10	0.4637	6.2079856	2.8783855	104.58	DNALI1	dynein axonemal light intermediate chain 1
9148	2.49e-07	5.53e-10	0.4541	-6.2032752	-2.8170583	354.28	NEURL1	neuralized E3 ubiquitin protein ligase 1
1113	2.67e-07	6.07e-10	0.5697	6.1886739	3.5259924	146.13	CHGA	chromogranin A
100288181	2.91e-07	6.73e-10	0.3666	-6.1723025	-2.2629622	268.87	LNCOC1	lncRNA associated with ovarian cancer 1
340120	2.93e-07	6.91e-10	0.8236	-6.1682139	-5.0800295	23.72	ANKRD34B	ankyrin repeat domain 34B
6118	3.20e-07	7.69e-10	0.2093	-6.1511075	-1.287163	1068.13	RPA2	replication protein A2
2831	3.53e-07	8.64e-10	0.6951	-6.1327142	-4.2628665	34.21	NPBWR1	neuropeptides B and W receptor 1
284217	4.48e-07	1.12e-09	0.5421	6.0917181	3.302317	117.99	LAMA1	laminin subunit alpha 1
219970	5.43e-07	1.38e-09	0.8076	6.0579245	4.8925421	49.2	GLYATL2	glycine-N-acyltransferase like 2
4246	6.08e-07	1.57e-09	0.9254	6.0367987	5.5863296	142.27	SCGB2A1	secretoglobin family 2A member 1
50804	6.36e-07	1.67e-09	0.5488	6.0267271	3.3075402	101.34	MYEF2	myelin expression factor 2
4241	6.59e-07	1.76e-09	0.4204	-6.0182749	-2.5303371	1107.21	MELTF	melanotransferrin
2066	6.84e-07	1.86e-09	0.6765	6.0093109	4.0650012	44.06	ERBB4	erb-b2 receptor tyrosine kinase 4
3786	6.98e-07	1.96e-09	0.4432	6.0007578	2.6597762	64	KCNQ3	potassium voltage-gated channel subfamily Q member 3
54457	6.98e-07	1.94e-09	0.699	-6.0028582	-4.1957124	97.09	TAF7L	TATA-box binding protein associated factor 7 like
11144	9.05e-07	2.59e-09	0.3715	-5.9557875	-2.212492	33	DMC1	DNA meiotic recombinase 1
56675	9.53e-07	2.77e-09	0.3817	-5.9447593	-2.2689576	209.39	NRIP3	nuclear receptor interacting protein 3
430	1.03e-06	3.02e-09	0.3422	-5.9302856	-2.0295169	269.45	ASCL2	achaete-scute family bHLH transcription factor 2
29993	2.16e-06	6.67e-09	0.5728	5.7990442	3.3216963	128.44	PACSIN1	protein kinase C and casein kinase substrate in neurons 1
84457	2.16e-06	6.50e-09	0.5869	5.8033025	3.4056787	29.09	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like
254050	2.16e-06	6.64e-09	0.5068	5.7997138	2.9391254	13.38	LRRC43	leucine rich repeat containing 43
374928	2.25e-06	7.05e-09	0.3156	5.7896818	1.8273932	43.58	ZNF773	zinc finger protein 773
346689	2.88e-06	9.14e-09	0.427	-5.7460308	-2.4536591	121.02	KLRG2	killer cell lectin like receptor G2
285671	3.29e-06	1.06e-08	0.483	5.7209584	2.7631018	36.6	RNF180	ring finger protein 180
3196	3.32e-06	1.08e-08	0.4484	-5.7170196	-2.5636209	81.38	TLX2	T cell leukemia homeobox 2
161725	3.72e-06	1.23e-08	0.2777	-5.695188	-1.5818301	169.38	OTUD7A	OTU deubiquitinase 7A
105374344	3.84e-06	1.29e-08	0.508	-5.6876262	-2.8893545	17.73	LOC105374344	uncharacterized LOC105374344
55879	4.01e-06	1.37e-08	0.5665	-5.6776208	-3.2164901	676.33	GABRQ	gamma-aminobutyric acid type A receptor subunit theta
59350	4.09e-06	1.41e-08	0.5724	5.6720966	3.2468507	28.49	RXFP1	relaxin family peptide receptor 1
56133	4.24e-06	1.48e-08	0.4696	5.6637751	2.6594563	69.65	PCDHB2	protocadherin beta 2
55086	4.45e-06	1.57e-08	0.4804	-5.6532572	-2.7156817	78.32	RADX	RPA1 related single stranded DNA binding protein, X-linked
29091	4.52e-06	1.62e-08	0.6725	5.6483546	3.7984918	64.5	STXBP6	syntaxin binding protein 6
113802	4.56e-06	1.66e-08	0.2473	-5.6446679	-1.3961946	249.79	HENMT1	HEN methyltransferase 1
4583	4.60e-06	1.69e-08	0.7568	-5.6408829	-4.2692255	306.94	MUC2	mucin 2, oligomeric mucus/gel-forming
10882	4.90e-06	1.82e-08	0.6092	-5.6280608	-3.4284552	210.91	C1QL1	complement C1q like 1
5265	6.67e-06	2.51e-08	0.5385	5.5725466	3.0010136	2460.38	SERPINA1	serpin family A member 1
2104	7.16e-06	2.73e-08	0.8723	5.5579679	4.8480958	39.86	ESRRG	estrogen related receptor gamma
400746	7.72e-06	2.98e-08	0.6588	5.5428134	3.6517397	65.46	NCMAP	non-compact myelin associated protein
100048912	7.83e-06	3.05e-08	0.3696	-5.5382687	-2.0472048	75.96	CDKN2B-AS1	CDKN2B antisense RNA 1
340542	8.87e-06	3.50e-08	0.5698	5.5143708	3.1420452	23.7	BEX5	brain expressed X-linked 5
23316	9.15e-06	3.65e-08	0.5568	5.5068075	3.0662029	14.1	CUX2	cut like homeobox 2
284800	9.32e-06	3.76e-08	0.5693	-5.5016035	-3.1319663	44.88	FAM182A	family with sequence similarity 182 member A
1339	9.83e-06	4.01e-08	0.9124	-5.4902173	-5.0095221	7.71	COX6A2	cytochrome c oxidase subunit 6A2
729756	9.84e-06	4.06e-08	0.4487	-5.4881118	-2.4624261	28.48	PRSS44P	serine protease 44, pseudogene
23025	9.90e-06	4.13e-08	0.6122	5.4851297	3.3582441	95.46	UNC13A	unc-13 homolog A
100271715	1.03e-05	4.36e-08	0.284	-5.4755459	-1.5552194	37.21	ARHGEF33	Rho guanine nucleotide exchange factor 33
4998	1.08e-05	4.61e-08	0.2554	-5.46577	-1.3961659	342.16	ORC1	origin recognition complex subunit 1
92312	1.12e-05	4.83e-08	0.4687	5.4575303	2.5577857	486.95	MEX3A	mex-3 RNA binding family member A
27439	1.29e-05	5.60e-08	0.4066	5.4311867	2.2084508	31.07	TMEM121B	transmembrane protein 121B
9582	1.30e-05	5.74e-08	0.3316	-5.4267377	-1.7995851	452.74	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
54742	1.36e-05	6.10e-08	0.4186	-5.4158314	-2.2672644	670.72	LY6K	lymphocyte antigen 6 family member K
2900	1.36e-05	6.09e-08	0.5349	5.4159984	2.8972378	19.72	GRIK4	glutamate ionotropic receptor kainate type subunit 4
4922	1.37e-05	6.20e-08	0.9897	-5.4129696	-5.3571703	206.05	NTS	neurotensin
100379220	1.47e-05	6.72e-08	0.5089	-5.3985227	-2.747206	13.82	TMED11P	transmembrane p24 trafficking protein 11, pseudogene
116028	1.49e-05	6.88e-08	0.2863	-5.3942104	-1.5441855	508.54	RMI2	RecQ mediated genome instability 2
4291	1.60e-05	7.49e-08	0.4279	-5.3788945	-2.3016483	176.79	MLF1	myeloid leukemia factor 1
162963	1.61e-05	7.58e-08	0.4575	5.3769366	2.4596988	17.33	ZNF610	zinc finger protein 610
66000	1.63e-05	7.76e-08	0.434	5.372656	2.3318412	15.22	TMEM108	transmembrane protein 108
9143	1.95e-05	9.36e-08	0.4356	-5.3387115	-2.3256969	259.31	SYNGR3	synaptogyrin 3
387890	1.95e-05	9.45e-08	0.4595	5.3369521	2.4520829	18.31	TMEM233	transmembrane protein 233
401138	2.09e-05	1.03e-07	0.9783	-5.3211211	-5.205704	210.95	AMTN	amelotin
25894	2.09e-05	1.03e-07	0.3209	-5.3209324	-1.7077197	1056.47	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4
6641	2.09e-05	1.04e-07	0.3286	5.3190545	1.7476899	191.4	SNTB1	syntrophin beta 1
100288695	2.11e-05	1.06e-07	0.3877	5.3160845	2.0610685	172.92	LIMS4	LIM zinc finger domain containing 4
5985	2.24e-05	1.14e-07	0.1689	-5.3028018	-0.8956466	712.83	RFC5	replication factor C subunit 5
51364	2.39e-05	1.23e-07	0.5296	5.2894917	2.8010962	62.87	ZMYND10	zinc finger MYND-type containing 10
5427	2.39e-05	1.24e-07	0.2216	-5.287711	-1.1717347	215.03	POLE2	DNA polymerase epsilon 2, accessory subunit
6854	2.44e-05	1.28e-07	0.6465	5.2823148	3.4149777	30.31	SYN2	synapsin II
100271835	2.64e-05	1.41e-07	0.4753	5.263667	2.501847	85.68	LIMS3-LOC440895	LIMS3-LOC440895 readthrough
83988	2.64e-05	1.40e-07	0.4567	5.2649719	2.4043047	213.42	NCALD	neurocalcin delta
283948	2.64e-05	1.41e-07	0.3335	5.2640508	1.7556434	15.06	NHLRC4	NHL repeat containing 4
547	2.67e-05	1.44e-07	0.9532	5.2601692	5.0138958	342.53	KIF1A	kinesin family member 1A
3781	2.76e-05	1.51e-07	0.4217	5.2519443	2.2146911	12.8	KCNN2	potassium calcium-activated channel subfamily N member 2
30012	2.89e-05	1.59e-07	0.8884	-5.2423364	-4.65755	54.66	TLX3	T cell leukemia homeobox 3
1017	2.96e-05	1.65e-07	0.2092	-5.2345878	-1.0950942	985.55	CDK2	cyclin dependent kinase 2
728882	2.96e-05	1.65e-07	0.5324	-5.2348197	-2.7868501	46.81	FAM182B	family with sequence similarity 182 member B
4093	3.13e-05	1.76e-07	0.448	5.2231538	2.340117	144.59	SMAD9	SMAD family member 9
92691	3.57e-05	2.03e-07	0.4627	5.1968591	2.4044366	13.13	TMEM169	transmembrane protein 169
145270	3.72e-05	2.12e-07	0.5469	-5.1880724	-2.8372693	457.19	PRIMA1	proline rich membrane anchor 1
6954	3.77e-05	2.17e-07	0.6413	-5.1840711	-3.3247513	66.53	TCP11	t-complex 11
9427	3.78e-05	2.21e-07	0.7667	5.1804572	3.9718868	159.2	ECEL1	endothelin converting enzyme like 1
56477	3.78e-05	2.21e-07	0.2899	-5.180799	-1.5020841	180.44	CCL28	C-C motif chemokine ligand 28
23046	3.83e-05	2.26e-07	0.4146	5.1768913	2.1461822	824.96	KIF21B	kinesin family member 21B
27285	3.84e-05	2.28e-07	0.6461	5.1746504	3.3433566	28.88	TEKT2	tektin 2
96626	4.02e-05	2.41e-07	0.3546	5.1646677	1.8314671	83.28	LIMS3	LIM zinc finger domain containing 3
8761	4.11e-05	2.48e-07	0.3574	5.1591272	1.8438603	3228.61	PABPC4	poly(A) binding protein cytoplasmic 4
3070	4.32e-05	2.63e-07	0.2812	-5.1482622	-1.4475795	1047.86	HELLS	helicase, lymphoid specific
3231	4.35e-05	2.66e-07	0.4674	-5.1457791	-2.4051059	46.14	HOXD1	homeobox D1
9890	4.66e-05	2.88e-07	0.4751	5.1312875	2.4376615	94.54	PLPPR4	phospholipid phosphatase related 4
84296	5.33e-05	3.31e-07	0.279	-5.1046911	-1.4243363	440.91	GINS4	GINS complex subunit 4
284293	5.33e-05	3.34e-07	0.5225	-5.103423	-2.6665421	44.17	HMSD	histocompatibility minor serpin domain containing
767	5.41e-05	3.41e-07	0.858	5.0990589	4.3751663	88.1	CA8	carbonic anhydrase 8
658	5.45e-05	3.46e-07	0.6614	5.0962882	3.3707794	74.61	BMPR1B	bone morphogenetic protein receptor type 1B
27294	5.96e-05	3.82e-07	0.5068	-5.0779585	-2.5732811	47.57	DHDH	dihydrodiol dehydrogenase
2775	6.03e-05	3.89e-07	0.4184	5.074441	2.123045	174.22	GNAO1	G protein subunit alpha o1
153768	6.83e-05	4.43e-07	0.3021	-5.0493234	-1.5255239	180.45	PRELID2	PRELI domain containing 2
286256	6.87e-05	4.49e-07	0.4887	5.0471115	2.466577	65.26	LCN12	lipocalin 12
105372521	7.49e-05	4.93e-07	0.4232	5.0290479	2.1283793	11.31	LOC105372521	uncharacterized LOC105372521
51198	7.94e-05	5.26e-07	0.7245	-5.0165007	-3.6342366	5.89	CDKN2A-DT	CDKN2A divergent transcript
284836	8.01e-05	5.34e-07	0.4441	-5.0134968	-2.2266202	82.03	LINC00319	long intergenic non-protein coding RNA 319
79744	8.95e-05	6.01e-07	0.3007	4.9909532	1.5006874	67.56	ZNF419	zinc finger protein 419
89777	9.10e-05	6.15e-07	0.9834	-4.9864787	-4.9036853	469.57	SERPINB12	serpin family B member 12
4804	9.10e-05	6.19e-07	0.6204	-4.9850758	-3.0925569	703.09	NGFR	nerve growth factor receptor
64321	9.12e-05	6.25e-07	0.758	4.9834766	3.7776011	459.88	SOX17	SRY-box transcription factor 17
112268016	9.48e-05	6.54e-07	0.4162	-4.9746112	-2.0704073	37.89	LOC112268016	collagen alpha-1(I) chain-like
2009	9.56e-05	6.68e-07	0.375	4.9704365	1.8637037	231.75	EML1	EMAP like 1
101928991	9.56e-05	6.67e-07	0.4193	-4.9708374	-2.0844445	66.2	CCDC92B	coiled-coil domain containing 92B
8029	1.01e-04	7.21e-07	0.3472	4.9556123	1.7205933	48.44	CUBN	cubilin
11339	1.01e-04	7.25e-07	0.238	-4.9546684	-1.1789656	123.19	OIP5	Opa interacting protein 5
284023	1.01e-04	7.11e-07	0.1905	-4.9582756	-0.9445685	155.68	RNF227	ring finger protein 227
54082	1.01e-04	7.18e-07	0.5473	4.9563886	2.7125774	15.83	TSPEAR-AS1	TSPEAR antisense RNA 1
107986126	1.03e-04	7.48e-07	0.3017	-4.9484539	-1.4931881	640.24	LOC107986126	uncharacterized LOC107986126
80020	1.03e-04	7.51e-07	0.3047	-4.9477845	-1.5078266	1590.28	FOXRED2	FAD dependent oxidoreductase domain containing 2
159296	1.04e-04	7.60e-07	1.038	-4.9453654	-5.1333167	22.7	NKX2-3	NK2 homeobox 3
11169	1.06e-04	7.80e-07	0.2679	-4.9403565	-1.3234618	450.38	WDHD1	WD repeat and HMG-box DNA binding protein 1
9723	1.09e-04	8.10e-07	1.0171	4.9330066	5.01734	46.05	SEMA3E	semaphorin 3E
102724398	1.09e-04	8.13e-07	0.4493	-4.9322763	-2.2158813	195.58	CH507-42P11.6	uncharacterized CH507-42P11.6
51733	1.10e-04	8.20e-07	0.5285	-4.9305403	-2.6059262	57.97	UPB1	beta-ureidopropionase 1
105373989	1.10e-04	8.32e-07	0.5656	4.9277486	2.7872451	24.12	LOC105373989	putative cuticle collagen 91
126069	1.13e-04	8.54e-07	0.3752	4.9226246	1.8468593	20.85	ZNF491	zinc finger protein 491
6543	1.19e-04	9.10e-07	0.633	-4.9101196	-3.1079242	108.39	SLC8A2	solute carrier family 8 member A2
57101	1.31e-04	1.01e-06	0.5285	4.8905018	2.5846044	134.52	ANO2	anoctamin 2
100507347	1.32e-04	1.01e-06	0.3328	4.8887701	1.6270471	3441.09	VIM-AS1	VIM antisense RNA 1
6596	1.34e-04	1.05e-06	0.3011	-4.8811824	-1.4699021	734.99	HLTF	helicase like transcription factor
107986780	1.34e-04	1.05e-06	0.6811	4.8816698	3.3246639	63.52	LOC107986780	
339145	1.34e-04	1.06e-06	0.5476	4.880449	2.6725703	15.9	CIBAR2	CBY1 interacting BAR domain containing 2
105371592	1.34e-04	1.04e-06	0.3442	-4.8838257	-1.6809769	25.71	LOC105371592	uncharacterized LOC105371592
27165	1.36e-04	1.08e-06	0.3179	-4.8765401	-1.5502049	148.42	GLS2	glutaminase 2
3625	1.39e-04	1.11e-06	0.5412	4.8709159	2.6361003	202.56	INHBB	inhibin subunit beta B
4248	1.39e-04	1.11e-06	0.4473	4.87049	2.1785332	314.24	MGAT3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
65267	1.46e-04	1.18e-06	0.4068	-4.8587399	-1.9762959	138.93	WNK3	WNK lysine deficient protein kinase 3
100507334	1.50e-04	1.22e-06	0.6319	4.8528993	3.0663337	24.57	LOC100507334	two pore channel 3 pseudogene
7431	1.56e-04	1.28e-06	0.3255	4.8435462	1.5763609	11320.53	VIM	vimentin
7083	1.56e-04	1.28e-06	0.307	-4.8429505	-1.4867342	2258.15	TK1	thymidine kinase 1
92340	1.57e-04	1.30e-06	0.3176	4.8400529	1.5371141	141.49	PRR29	proline rich 29
10682	1.64e-04	1.36e-06	0.2779	-4.8306278	-1.3423372	1949.77	EBP	EBP cholestenol delta-isomerase
387103	1.65e-04	1.38e-06	0.3194	-4.8284057	-1.5419575	590.08	CENPW	centromere protein W
55723	1.73e-04	1.45e-06	0.314	-4.8178288	-1.5128898	1068.2	ASF1B	anti-silencing function 1B histone chaperone
54329	1.74e-04	1.47e-06	0.413	4.8151266	1.9886571	24.61	GPR85	G protein-coupled receptor 85
3795	1.76e-04	1.49e-06	0.3229	-4.8119768	-1.5538388	190.31	KHK	ketohexokinase
6506	1.83e-04	1.58e-06	0.6057	4.8008285	2.9076329	38.24	SLC1A2	solute carrier family 1 member 2
4440	1.83e-04	1.56e-06	0.7239	4.8028911	3.4767155	136.66	MSI1	musashi RNA binding protein 1
55567	1.83e-04	1.58e-06	0.4206	4.8014554	2.0196467	58.8	DNAH3	dynein axonemal heavy chain 3
100129842	1.88e-04	1.63e-06	0.3714	4.7946318	1.7806512	87.56	ZNF737	zinc finger protein 737
100874530	1.98e-04	1.72e-06	0.3875	-4.7833811	-1.8536073	73.55	APOBEC3B-AS1	APOBEC3B antisense RNA 1
100130933	1.98e-04	1.74e-06	0.4151	4.7817131	1.9849966	25.63	SMIM6	small integral membrane protein 6
116832	2.02e-04	1.77e-06	0.2847	-4.7775673	-1.3603144	649.4	RPL39L	ribosomal protein L39 like
5984	2.06e-04	1.82e-06	0.2646	-4.7720901	-1.2627367	659.6	RFC4	replication factor C subunit 4
58473	2.17e-04	1.93e-06	0.4733	4.7609346	2.2534827	158.56	PLEKHB1	pleckstrin homology domain containing B1
1031	2.30e-04	2.06e-06	0.3653	-4.7475064	-1.73427	967.83	CDKN2C	cyclin dependent kinase inhibitor 2C
5933	2.35e-04	2.11e-06	0.2956	-4.7428044	-1.4020159	429.46	RBL1	RB transcriptional corepressor like 1
54492	2.35e-04	2.12e-06	0.3416	-4.7413502	-1.6197236	2850.71	NEURL1B	neuralized E3 ubiquitin protein ligase 1B
5798	2.40e-04	2.19e-06	0.7411	4.7350525	3.5093604	75.06	PTPRN	protein tyrosine phosphatase receptor type N
345462	2.40e-04	2.20e-06	0.2561	-4.7339023	-1.2124621	86.51	ZNF879	zinc finger protein 879
9498	2.40e-04	2.20e-06	0.4366	4.7337836	2.066788	67.71	SLC4A8	solute carrier family 4 member 8
9061	2.48e-04	2.29e-06	0.1881	4.7257243	0.8890313	945.41	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
51176	2.48e-04	2.30e-06	0.3749	4.7249121	1.7713413	331.56	LEF1	lymphoid enhancer binding factor 1
6941	2.48e-04	2.28e-06	0.2771	-4.7264453	-1.3095957	1367.89	TCF19	transcription factor 19
8507	2.49e-04	2.33e-06	0.4462	4.7225287	2.1072331	903.81	ENC1	ectodermal-neural cortex 1
4488	2.52e-04	2.38e-06	0.5725	4.7184683	2.7014949	147.65	MSX2	msh homeobox 2
3306	2.52e-04	2.37e-06	0.4801	-4.7191917	-2.2658993	2038.43	HSPA2	heat shock protein family A (Hsp70) member 2
147686	2.53e-04	2.40e-06	0.4337	4.7164469	2.0456666	33.07	ZNF418	zinc finger protein 418
4337	2.59e-04	2.47e-06	0.3195	4.7107579	1.5051052	247.65	MOCS1	molybdenum cofactor synthesis 1
80759	2.62e-04	2.51e-06	0.281	-4.7072022	-1.322736	116.67	KHDC1	KH domain containing 1
10051	2.65e-04	2.56e-06	0.2735	-4.7032286	-1.286393	2636.76	SMC4	structural maintenance of chromosomes 4
9572	2.65e-04	2.56e-06	0.3004	-4.7031336	-1.4126926	814.06	NR1D1	nuclear receptor subfamily 1 group D member 1
321	2.71e-04	2.64e-06	0.3757	4.6973844	1.764885	205.67	APBA2	amyloid beta precursor protein binding family A member 2
317761	2.74e-04	2.68e-06	0.9289	-4.6941068	-4.3605111	9.6	C14orf39	chromosome 14 open reading frame 39
2657	2.84e-04	2.79e-06	0.4428	4.6858814	2.074696	22.44	GDF1	growth differentiation factor 1
9241	2.88e-04	2.84e-06	0.5989	4.6820965	2.8038744	10	NOG	noggin
105378714	2.92e-04	2.89e-06	1.0072	-4.678616	-4.7124374	7.81	LOC105378714	uncharacterized LOC105378714
7348	3.18e-04	3.16e-06	0.8697	4.6604294	4.0532444	70.72	UPK1B	uroplakin 1B
10381	3.23e-04	3.22e-06	0.3748	4.6559836	1.7452167	1228.23	TUBB3	tubulin beta 3 class III
1907	3.40e-04	3.40e-06	0.6368	-4.6447511	-2.9578809	539.88	EDN2	endothelin 2
128239	3.45e-04	3.47e-06	0.2883	-4.6405535	-1.3380354	2064.2	IQGAP3	IQ motif containing GTPase activating protein 3
149499	3.60e-04	3.66e-06	0.4543	4.6298235	2.1034575	18.03	LRRC71	leucine rich repeat containing 71
29028	3.60e-04	3.65e-06	0.2916	-4.6301876	-1.3503157	1277.14	ATAD2	ATPase family AAA domain containing 2
259217	3.60e-04	3.71e-06	0.3896	4.6269286	1.8025339	181.56	HSPA12A	heat shock protein family A (Hsp70) member 12A
100288866	3.60e-04	3.69e-06	0.6404	-4.6279519	-2.9637277	36.37	NGFR-AS1	NGFR antisense RNA 1
8313	3.60e-04	3.70e-06	0.4467	4.6273847	2.066938	353.13	AXIN2	axin 2
944	3.64e-04	3.76e-06	0.3875	4.624106	1.7920677	67.58	TNFSF8	TNF superfamily member 8
28786	3.70e-04	3.85e-06	0.8987	4.619483	4.151399	27.78	IGLV4-3	immunoglobulin lambda variable 4-3
117	3.80e-04	3.97e-06	0.6856	4.6129808	3.16283	185.26	ADCYAP1R1	ADCYAP receptor type I
158401	3.81e-04	3.99e-06	0.2848	-4.6119648	-1.3135284	106.45	SHOC1	shortage in chiasmata 1
100127888	3.92e-04	4.13e-06	0.3072	-4.6046776	-1.4146492	64.85	SLCO4A1-AS1	SLCO4A1 antisense RNA 1
53904	3.98e-04	4.21e-06	0.7652	-4.6008036	-3.5204416	146.73	MYO3A	myosin IIIA
84894	4.12e-04	4.37e-06	0.3661	4.5929931	1.681582	118.6	LINGO1	leucine rich repeat and Ig domain containing 1
105374254	4.12e-04	4.39e-06	0.3906	-4.591904	-1.7937279	15.42	LOC105374254	uncharacterized LOC105374254
55055	4.30e-04	4.61e-06	0.2151	-4.5819196	-0.9857685	302.88	ZWILCH	zwilch kinetochore protein
7913	4.41e-04	4.82e-06	0.2539	-4.572571	-1.1611053	1969.73	DEK	DEK proto-oncogene
